Quarter,Time,Tm,Detail,CIN,DAL
1.0,11:09,Cowboys,Ezekiel Elliott 13 yard rush (Dan Bailey kick),0,7
2.0,14:43,Cowboys,Dak Prescott 5 yard rush (Dan Bailey kick),0,14
,4:09,Cowboys,Cole Beasley 14 yard pass from Dak Prescott (Dan Bailey kick),0,21
3.0,11:38,Cowboys,Ezekiel Elliott 60 yard rush (Dan Bailey kick),0,28
4.0,10:10,Bengals,Brandon LaFell 7 yard pass from Andy Dalton (Mike Nugent kick),7,28
,2:39,Bengals,Brandon LaFell 5 yard pass from Andy Dalton (Mike Nugent kick),14,28
