Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 59 yards, returned by Lucky Whitehead for 30 yards (tackle by Cody Core)",0.000,-1.330
1,14:52,1,10,DAL 36,0,0,Ezekiel Elliott left guard for 3 yards (tackle by Vontaze Burfict),1.330,1.200
1,14:20,2,7,DAL 39,0,0,Lucky Whitehead left end for 9 yards (tackle by Adam Jones),1.200,2.130
1,13:40,1,10,DAL 48,0,0,Dak Prescott for 2 yards (tackle by Carlos Dunlap),2.130,1.850
1,13:08,2,8,CIN 50,0,0,Dak Prescott pass complete short left to Terrance Williams for 11 yards (tackle by Vontaze Burfict),1.850,2.980
1,12:29,1,10,CIN 39,0,0,Ezekiel Elliott left end for 17 yards (tackle by George Iloka and Adam Jones),2.980,4.110
1,11:49,1,10,CIN 22,0,0,Ezekiel Elliott left tackle for 9 yards (tackle by Vontaze Burfict),4.110,5.060
1,11:15,2,1,CIN 13,0,6,"Ezekiel Elliott middle for 13 yards, touchdown",5.060,7.000
1,11:15,,,CIN 13,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,11:15,,,DAL 35,0,7,"Dan Bailey kicks off 69 yards, returned by Rex Burkhead for 42 yards (tackle by J.J. Wilcox). Penalty on Derron Smith: Offensive Holding, 9 yards",0.000,0.380
1,11:01,1,10,CIN 10,0,7,Giovani Bernard right tackle for 7 yards (tackle by Terrell McClain),-0.380,-0.090
1,10:30,2,3,CIN 17,0,7,Giovani Bernard left end for 14 yards (tackle by Byron Jones),-0.090,1.000
1,9:48,1,10,CIN 31,0,7,Andy Dalton pass complete short left to C.J. Uzomah for 8 yards (tackle by Brandon Carr),1.000,1.540
1,9:14,2,2,CIN 39,0,7,Andy Dalton left end for 5 yards (tackle by Jack Crawford),1.540,1.860
1,8:29,1,10,CIN 44,0,7,Andy Dalton pass complete short right to Giovani Bernard for 11 yards (tackle by Sean Lee),1.860,2.590
1,7:46,1,10,DAL 45,0,7,Andy Dalton pass complete short left to Brandon LaFell for -3 yards (tackle by Anthony Brown),2.590,1.640
1,7:08,2,13,DAL 48,0,7,Andy Dalton pass incomplete short left intended for Jeremy Hill,1.640,0.960
1,7:04,3,13,DAL 48,0,7,Andy Dalton middle for 8 yards (tackle by J.J. Wilcox),0.960,0.590
1,6:27,4,5,DAL 40,0,7,Kevin Huber punts 29 yards,0.590,0.370
1,6:16,1,10,DAL 11,0,7,"Ezekiel Elliott left tackle for 5 yards (tackle by Pat Sims). Penalty on Tyron Smith: Offensive Holding, 5 yards (no play)",-0.370,-0.570
1,5:56,1,15,DAL 6,0,7,Dak Prescott pass complete short left to Ezekiel Elliott for 10 yards (tackle by Adam Jones),-0.570,-0.300
1,5:24,2,5,DAL 16,0,7,Ezekiel Elliott left guard for 1 yard (tackle by Pat Sims and Domata Peko),-0.300,-0.720
1,4:40,3,4,DAL 17,0,7,Dak Prescott pass complete deep left to Terrance Williams for 17 yards (tackle by Josh Shaw),-0.720,1.200
1,3:57,1,10,DAL 34,0,7,Ezekiel Elliott right guard for 7 yards (tackle by Vontaze Burfict),1.200,1.600
1,3:17,2,3,DAL 41,0,7,Dak Prescott pass complete short right to Brice Butler for 13 yards (tackle by Vontaze Burfict),1.600,2.520
1,2:43,1,10,CIN 46,0,7,Ezekiel Elliott for 15 yards,2.520,3.510
1,2:06,1,10,CIN 31,0,7,Alfred Morris right tackle for 6 yards (tackle by Dre Kirkpatrick),3.510,3.780
1,1:24,2,4,CIN 25,0,7,Dak Prescott pass complete deep middle to Terrance Williams for 21 yards (tackle by Dre Kirkpatrick),3.780,6.280
1,0:38,1,4,CIN 4,0,7,"Dak Prescott pass complete short middle to Brice Butler for 4 yards. Penalty on Jason Witten: Illegal Shift, 5 yards (no play)",6.280,5.140
1,0:32,1,9,CIN 9,0,7,"Ezekiel Elliott for -2 yards (tackle by Michael Johnson). Dak Prescott fumbles, recovered by Dak Prescott at CIN-11",5.140,4.190
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,CIN 10,0,7,Dak Prescott pass incomplete short left intended for Brice Butler (defended by Adam Jones),4.190,3.130
2,14:49,3,10,CIN 10,0,7,"Dak Prescott pass incomplete short middle intended for Jason Witten. Penalty on Vincent Rey: Illegal Contact, 5 yards (no play)",3.130,6.060
2,14:47,1,5,CIN 5,0,13,"Dak Prescott right tackle for 5 yards, touchdown",6.060,7.000
2,14:47,,,CIN 5,0,14,Dan Bailey kicks extra point good,0.000,0.000
2,14:47,,,DAL 35,0,14,"Dan Bailey kicks off 70 yards, returned by Alex Erickson for 22 yards (tackle by J.J. Wilcox)",0.000,0.060
2,14:37,1,10,CIN 17,0,14,Giovani Bernard middle for 3 yards (tackle by Andrew Gachkar and Terrell McClain),-0.060,-0.060
2,14:01,2,7,CIN 20,0,14,Giovani Bernard right tackle for 5 yards (tackle by Barry Church),-0.060,-0.240
2,13:20,3,2,CIN 25,0,14,Andy Dalton right end for 3 yards (tackle by Terrell McClain),-0.240,0.810
2,12:41,1,10,CIN 28,0,14,Giovani Bernard left guard for 1 yard (tackle by Sean Lee and Tyrone Crawford),0.810,0.400
2,12:06,2,9,CIN 29,0,14,Andy Dalton pass complete short left to Brandon LaFell for 14 yards (tackle by Byron Jones),0.400,1.800
2,11:36,1,10,CIN 43,0,14,Jeremy Hill left guard for 8 yards (tackle by Justin Durant),1.800,2.330
2,11:10,2,2,DAL 49,0,14,Jeremy Hill middle for 4 yards (tackle by Sean Lee and Justin Durant),2.330,2.590
2,10:37,1,10,DAL 45,0,14,"Penalty on Kevin Zeitler: False Start, 5 yards (no play)",2.590,2.260
2,10:16,1,15,DAL 50,0,14,"Andy Dalton pass complete short right to Jeremy Hill for 4 yards (tackle by Justin Durant and Sean Lee). Penalty on Kevin Zeitler: Offensive Holding, 10 yards (no play)",2.260,1.600
2,9:56,1,25,CIN 40,0,14,Andy Dalton pass complete short middle to A.J. Green for 9 yards (tackle by Brandon Carr),1.600,1.230
2,9:14,2,16,CIN 49,0,14,Andy Dalton pass complete short right to Giovani Bernard for 6 yards (tackle by Justin Durant and Anthony Brown),1.230,1.360
2,8:31,3,10,DAL 45,0,14,Andy Dalton middle for 4 yards (tackle by Sean Lee),1.360,0.530
2,7:56,4,6,DAL 41,0,14,"Kevin Huber punts 41 yards, touchback",0.530,-0.280
2,7:47,1,10,DAL 20,0,14,Dak Prescott pass incomplete short right intended for Geoff Swaim,0.280,-0.270
2,7:41,2,10,DAL 20,0,14,Alfred Morris right tackle for 17 yards (tackle by Michael Johnson and Josh Shaw),-0.270,1.400
2,6:58,1,10,DAL 37,0,14,Alfred Morris left tackle for 8 yards (tackle by Vontaze Burfict),1.400,1.940
