Unnamed: 0,CIN,DAL
First Downs,27,21
Rush-Yds-TDs,19-96-0,29-180-3
Cmp-Att-Yd-TD-INT,29-41-269-2-0,18-24-227-1-0
Sacked-Yards,4-20,1-5
Net Pass Yards,249,222
Total Yards,345,402
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,6-49,7-45
Third Down Conv.,5-12,4-8
Fourth Down Conv.,1-1,0-0
Time of Possession,32:17,27:43
