Unnamed: 0,DAL,BAL
First Downs,30,19
Rush-Yds-TDs,42-227-1,22-86-2
Cmp-Att-Yd-TD-INT,25-36-261-2-1,17-26-234-1-0
Sacked-Yards,1-7,1-4
Net Pass Yards,254,230
Total Yards,481,316
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,13-82,10-76
Third Down Conv.,8-15,6-10
Fourth Down Conv.,2-2,0-0
Time of Possession,40:03,19:57
