Quarter,Time,Down,ToGo,Location,DAL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Ray Rice left guard for 1 yard (tackle by Kenyon Coleman and Sean Lee),0.280,-0.130
1,14:30,2,9,BAL 21,0,0,Joe Flacco pass complete short left to Torrey Smith for 5 yards (tackle by Gerald Sensabaugh),-0.130,-0.160
1,13:53,3,4,BAL 26,0,0,Joe Flacco pass complete short middle to Jacoby Jones for 5 yards (tackle by Brandon Carr),-0.160,1.000
1,13:11,1,10,BAL 31,0,0,Ray Rice left guard for 6 yards (tackle by Bruce Carter),1.000,1.270
1,12:39,2,4,BAL 37,0,0,Ray Rice right guard for 3 yards (tackle by Kenyon Coleman),1.270,0.960
1,12:13,3,1,BAL 40,0,0,Ray Rice right tackle for 9 yards (tackle by Victor Butler),0.960,2.190
1,11:34,1,10,BAL 49,0,0,Ray Rice left guard for 2 yards (tackle by Sean Lissemore),2.190,1.920
1,11:34,2,8,DAL 49,0,0,Joe Flacco pass complete short right to Jacoby Jones for 10 yards (tackle by Brandon Carr),1.920,2.980
1,11:34,1,10,DAL 39,0,0,Joe Flacco pass complete short right to Dennis Pitta for 8 yards (tackle by Bruce Carter),2.980,3.520
1,10:26,2,2,DAL 31,0,0,Ray Rice left guard for 3 yards (tackle by Sean Lee),3.520,3.710
1,9:47,1,10,DAL 28,0,0,Ray Rice up the middle for 3 yards (tackle by Jay Ratliff and Sean Lee),3.710,3.570
1,9:12,2,7,DAL 25,0,0,Joe Flacco pass complete short middle to Bernard Pierce for 6 yards (tackle by Morris Claiborne),3.570,3.720
1,8:38,3,1,DAL 19,0,0,Bernard Pierce right end for -1 yards (tackle by Alex Albright),3.720,2.250
1,7:54,4,2,DAL 20,0,3,Justin Tucker 38 yard field goal good,2.250,3.000
1,7:50,,,BAL 35,0,3,"Justin Tucker kicks off 74 yards, touchback",0.000,0.280
1,7:50,1,10,DAL 20,0,3,DeMarco Murray right guard for 5 yards (tackle by Haloti Ngata),0.280,0.410
1,7:19,2,5,DAL 25,0,3,Tony Romo pass complete short right to Lawrence Vickers for 11 yards (tackle by Albert McClellan),0.410,1.330
1,6:59,1,10,DAL 36,0,3,DeMarco Murray left guard for 4 yards (tackle by Pernell McPhee),1.330,1.330
1,6:17,2,6,DAL 40,0,3,DeMarco Murray left end for 2 yards (tackle by Courtney Upshaw),1.330,0.890
1,5:36,3,4,DAL 42,0,3,Tony Romo pass complete short right to Dez Bryant for 14 yards (tackle by Jimmy Smith),0.890,2.650
1,5:01,1,10,BAL 44,0,3,Tony Romo pass complete short middle to DeMarco Murray for 4 yards (tackle by Ray Lewis and Albert McClellan),2.650,2.650
