Quarter,Time,Tm,Detail,DAL,BAL
1.0,7:50,Ravens,Justin Tucker 38 yard field goal,0,3
,3:18,Cowboys,Felix Jones 22 yard rush (Dan Bailey kick),7,3
2.0,11:29,Cowboys,Dan Bailey 42 yard field goal,10,3
,7:29,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),10,10
,0:41,Ravens,Torrey Smith 19 yard pass from Joe Flacco (Justin Tucker kick),10,17
3.0,11:37,Cowboys,Dan Bailey 43 yard field goal,13,17
,11:24,Ravens,Jacoby Jones 108 yard kickoff return (Justin Tucker kick),13,24
,3:19,Cowboys,Dez Bryant 7 yard pass from Tony Romo (Dan Bailey kick),20,24
4.0,8:22,Cowboys,Dan Bailey 34 yard field goal,23,24
,4:41,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),23,31
,0:32,Cowboys,Dez Bryant 4 yard pass from Tony Romo (pass failed),29,31
