Unnamed: 0,SFO,STL
First Downs,11,16
Rush-Yds-TDs,21-38-0,41-197-2
Cmp-Att-Yd-TD-INT,20-41-162-0-0,14-23-191-1-0
Sacked-Yards,3-11,0-0
Net Pass Yards,151,191
Total Yards,189,388
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,13-93,12-93
Third Down Conv.,3-17,1-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:02,31:58
