Quarter,Time,Tm,Detail,SFO,STL
1.0,10:29,49ers,Phil Dawson 54 yard field goal,3,0
,4:24,Rams,"Safety, Mike Davis tackled in end zone by James Laurinaitis",3,2
2.0,10:25,Rams,Todd Gurley 71 yard rush (Jared Cook pass from Nick Foles),3,10
,6:52,Rams,Greg Zuerlein 38 yard field goal,3,13
,1:53,49ers,Phil Dawson 26 yard field goal,6,13
,0:18,Rams,Tavon Austin 2 yard rush (Greg Zuerlein kick),6,20
4.0,8:34,Rams,Tavon Austin 66 yard pass from Nick Foles (Greg Zuerlein kick),6,27
