Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 66 yards, returned by Eddie Drummond for 37 yards (tackle by Neil Rackers)",0.000,1.660
1,14:53,1,10,DET 41,0,0,"Kevin Jones middle for no gain (tackle by James Darling and Adrian Wilson). Penalty on Ross Kolodziej: Defensive Holding, 5 yards (no play)",1.660,1.990
1,14:34,1,10,DET 46,0,0,Kevin Jones right end for 4 yards (tackle by James Darling),1.990,1.990
1,13:55,2,6,,0,0,Joey Harrington pass complete to Roy Williams for 4 yards (tackle by James Darling),1.990,1.820
1,13:15,3,2,ARI 46,0,0,Joey Harrington pass complete to Shawn Bryson for 1 yard (tackle by Robert Tate),1.820,0.270
1,12:48,4,1,ARI 45,0,0,Kevin Jones left tackle for 36 yards (tackle by Robert Tate),0.270,5.140
1,12:06,1,9,ARI 9,0,0,Kevin Jones middle for 2 yards (tackle by Adrian Wilson and Orlando Huff),5.140,4.760
1,11:29,2,7,ARI 7,0,0,Joey Harrington pass incomplete intended for Marcus Pollard (defended by Adrian Wilson),4.760,3.810
1,11:23,3,7,ARI 7,0,6,"Joey Harrington pass complete to Roy Williams for 7 yards, touchdown",3.810,7.000
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
1,11:23,,,ARI 7,0,7,Jason Hanson kicks extra point good,0.000,0.000
1,11:23,,,DET 30,0,7,"Jason Hanson kicks off 64 yards, returned by Reggie Swinton for 20 yards (tackle by Vernon Fox)",0.000,0.670
1,11:11,1,10,ARI 26,0,7,Kurt Warner pass complete to LeRon McCoy for 11 yards (tackle by Keith Smith and Earl Holmes),0.670,1.400
1,10:40,1,10,ARI 37,0,7,Marcel Shipp left end for -4 yards (tackle by James Davis),1.400,0.320
1,10:02,2,14,ARI 33,0,7,Kurt Warner pass incomplete intended for Marcel Shipp,0.320,-0.360
