Unnamed: 0,ARI,DET
First Downs,21,22
Rush-Yds-TDs,16-38-1,32-157-0
Cmp-Att-Yd-TD-INT,29-45-359-1-0,21-31-231-3-0
Sacked-Yards,0-0,1-5
Net Pass Yards,359,226
Total Yards,397,383
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,9-80,7-50
Third Down Conv.,6-13,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:32,34:28
