Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 63 yards, returned by Jerious Norwood for 18 yards (tackle by Donte Curry)",0.000,0.610
1,14:56,1,10,ATL 25,0,0,Michael Turner right tackle for 7 yards (tackle by Ma'ake Kemoeatu),0.610,1.010
1,14:19,2,3,ATL 32,0,0,Matt Ryan pass complete deep left to Roddy White for 30 yards,1.010,3.050
1,13:57,1,10,CAR 38,0,0,Matt Ryan pass complete short right to Michael Jenkins for 6 yards (tackle by Chris Gamble),3.050,3.320
1,13:19,2,4,CAR 32,0,0,Michael Turner for 19 yards (tackle by Chris Harris),3.320,4.710
1,12:46,1,10,CAR 13,0,0,Michael Turner up the middle for 6 yards (tackle by Thomas Davis and Jon Beason),4.710,5.150
1,12:03,2,4,CAR 7,0,0,Michael Turner up the middle for 2 yards (tackle by Julius Peppers),5.150,4.780
1,11:24,3,2,CAR 5,0,0,Matt Ryan pass incomplete short right intended for Brian Finneran,4.780,3.030
1,11:19,4,2,CAR 5,0,3,Jason Elam 23 yard field goal good,3.030,3.000
1,11:16,,,ATL 30,0,3,"Michael Koenen kicks off 70 yards, returned by Mark Jones for 16 yards (tackle by Thomas DeCoud)",0.000,-0.140
1,11:11,1,10,CAR 16,0,3,DeAngelo Williams right tackle for 3 yards (tackle by Lawyer Milloy and Curtis Lofton),-0.140,-0.180
1,10:40,2,7,CAR 19,0,3,Jake Delhomme pass complete short right to Jeff King for 3 yards (tackle by Keith Brooking),-0.180,-0.570
1,10:01,3,4,CAR 22,0,3,Jake Delhomme pass incomplete short right intended for Muhsin Muhammad,-0.570,-1.900
1,9:55,4,4,CAR 22,0,3,Jason Baker punts 53 yards,-1.900,-0.610
1,9:40,1,10,ATL 25,0,3,Matt Ryan pass complete short right to Jason Snelling for 27 yards (tackle by Tyler Brayton),0.610,2.390
1,8:59,1,10,CAR 48,0,3,Michael Turner up the middle for no gain (tackle by Jon Beason),2.390,1.850
1,8:32,2,10,CAR 48,0,3,"Penalty on Damione Lewis: Encroachment, 5 yards (no play)",1.850,2.520
1,8:10,2,5,CAR 43,0,3,"Penalty on Charles Johnson: Neutral Zone Infraction, 4 yards (no play)",2.520,3.060
1,7:50,2,1,CAR 39,0,3,Jerious Norwood left end for 8 yards (tackle by Damione Lewis),3.060,3.510
1,7:09,1,10,CAR 31,0,3,Matt Ryan pass complete deep right to Roddy White for 17 yards (tackle by Chris Harris),3.510,4.650
1,6:26,1,10,CAR 14,0,3,Michael Turner up the middle for 3 yards (tackle by Chris Harris),4.650,4.520
1,5:49,2,7,CAR 11,0,3,Matt Ryan pass complete short left to Eric Weems for 4 yards (tackle by Jon Beason),4.520,4.500
1,5:09,3,3,CAR 7,0,9,"Harry Douglas right end for 7 yards, touchdown. Penalty on Thomas Davis: Unnecessary Roughness, 15 yards",4.500,7.000
1,5:09,,,CAR 2,0,10,Jason Elam kicks extra point good,0.000,0.000
1,5:03,,,ATL 45,0,10,"Michael Koenen kicks off 55 yards, touchback",0.000,0.280
1,5:03,1,10,CAR 20,0,10,DeAngelo Williams up the middle for 3 yards (tackle by Chauncey Davis),0.280,0.140
1,4:27,2,7,CAR 23,0,10,Jake Delhomme pass incomplete short left intended for Jeff King (defended by Jonathan Babineaux),0.140,-0.560
1,4:23,3,7,CAR 23,0,10,Jake Delhomme sacked by Chauncey Davis for -9 yards,-0.560,-2.470
1,3:53,4,16,CAR 14,0,10,"Jason Baker punts 50 yards, returned by Harry Douglas for 27 yards (tackle by Jason Baker)",-2.470,-3.120
1,3:39,1,10,CAR 37,0,10,Michael Turner up the middle for 6 yards (tackle by Damione Lewis),3.120,3.380
1,3:03,2,4,CAR 31,0,10,Harry Douglas right end for -4 yards (tackle by Richard Marshall),3.380,2.150
1,2:24,3,8,CAR 35,0,10,Matt Ryan pass complete short middle to Harry Douglas for 10 yards (tackle by Richard Marshall),2.150,3.910
1,1:46,1,10,CAR 25,0,10,Michael Turner right tackle for 6 yards (tackle by Jon Beason and Na'il Diggs),3.910,4.200
1,1:03,2,4,CAR 19,0,10,"Penalty on Ben Hartsock: False Start, 5 yards (no play)",4.200,3.500
1,0:39,2,9,CAR 24,0,10,Matt Ryan pass complete short left to Roddy White for 8 yards (tackle by Ken Lucas),3.500,4.060
Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,CAR 16,0,10,Matt Ryan up the middle for 1 yard (tackle by Ma'ake Kemoeatu),4.060,4.580
2,14:38,1,10,CAR 15,0,10,Matt Ryan pass incomplete short right intended for Michael Jenkins,4.580,3.950
2,14:31,2,10,CAR 15,0,10,Matt Ryan pass complete short left to Jerious Norwood for 5 yards (tackle by Charles Godfrey),3.950,4.000
2,13:57,3,5,CAR 10,0,10,Matt Ryan pass complete short right to Brian Finneran for 9 yards (tackle by Richard Marshall),4.000,6.970
2,13:34,1,1,CAR 1,0,16,"Michael Turner up the middle for 1 yard, touchdown",6.970,7.000
2,13:34,,,CAR 2,0,17,Jason Elam kicks extra point good,0.000,0.000
2,13:20,,,ATL 30,0,17,"Michael Koenen kicks off 62 yards, returned by Mark Jones for 13 yards (tackle by Coy Wire)",0.000,0.340
2,13:14,1,10,CAR 21,0,17,Jonathan Stewart up the middle for 2 yards (tackle by Jamaal Anderson),0.340,0.070
2,12:35,2,8,CAR 23,0,17,Jake Delhomme up the middle for 6 yards,0.070,0.170
2,11:52,3,2,CAR 29,0,17,DeAngelo Williams up the middle for no gain (tackle by John Abraham),0.170,-1.440
2,11:19,4,2,CAR 29,0,17,"Jason Baker punts 46 yards, returned by Harry Douglas for 5 yards (tackle by Brad Hoover)",-1.440,-0.940
2,11:06,1,10,ATL 30,0,17,Michael Turner up the middle for 3 yards (tackle by Ma'ake Kemoeatu),0.940,0.800
2,10:22,2,7,ATL 33,0,17,Jerious Norwood up the middle for no gain (tackle by Thomas Davis),0.800,0.100
