Unnamed: 0,ARI,SFO
First Downs,21,14
Rush-Yds-TDs,41-123-1,12-49-2
Cmp-Att-Yd-TD-INT,18-26-267-1-0,18-29-190-0-1
Sacked-Yards,2-18,4-16
Net Pass Yards,249,174
Total Yards,372,223
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,5-45,3-35
Third Down Conv.,8-16,2-9
Fourth Down Conv.,1-1,1-1
Time of Possession,37:40,22:20
