Quarter,Time,Tm,Detail,SFO,MIA
1.0,9:46,49ers,Carlos Hyde 11 yard pass from Colin Kaepernick (Phil Dawson kick),7,0
2.0,12:22,Dolphins,Jay Ajayi 2 yard rush (Andrew Franks kick),7,7
,2:17,Dolphins,Dion Sims 16 yard pass from Ryan Tannehill (Andrew Franks kick),7,14
3.0,12:31,Dolphins,Andrew Franks 24 yard field goal,7,17
,7:34,49ers,Garrett Celek 4 yard pass from Colin Kaepernick (Phil Dawson kick),14,17
,1:33,Dolphins,Kenny Stills 43 yard pass from Ryan Tannehill (Andrew Franks kick),14,24
4.0,11:31,Dolphins,Leonte Carroo 15 yard pass from Ryan Tannehill (Andrew Franks kick),14,31
,7:42,49ers,Torrey Smith 1 yard pass from Colin Kaepernick (Phil Dawson kick),21,31
,2:15,49ers,Phil Dawson 36 yard field goal,24,31
