Unnamed: 0,SFO,MIA
First Downs,25,19
Rush-Yds-TDs,25-193-0,26-95-1
Cmp-Att-Yd-TD-INT,29-46-296-3-1,20-30-285-3-0
Sacked-Yards,2-14,2-22
Net Pass Yards,282,263
Total Yards,475,358
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,7-65,4-42
Third Down Conv.,7-14,6-12
Fourth Down Conv.,2-2,0-0
Time of Possession,29:28,30:32
