Quarter,Time,Tm,Detail,NWE,MIA
1.0,7:42,Dolphins,Chad Henne 9 yard rush (Dan Carpenter kick),0,7
,4:14,Patriots,BenJarvus Green-Ellis 4 yard rush (Stephen Gostkowski kick),7,7
2.0,14:09,Patriots,Rob Gronkowski 10 yard pass from Tom Brady (Stephen Gostkowski kick),14,7
3.0,12:29,Dolphins,Brian Hartline 10 yard pass from Chad Henne (Dan Carpenter kick),14,14
,8:23,Patriots,Wes Welker 2 yard pass from Tom Brady (Stephen Gostkowski kick),21,14
,3:36,Dolphins,Dan Carpenter 20 yard field goal,21,17
,0:10,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Stephen Gostkowski kick),28,17
4.0,11:02,Patriots,Stephen Gostkowski 20 yard field goal,31,17
,5:44,Patriots,Wes Welker 99 yard pass from Tom Brady (Stephen Gostkowski kick),38,17
,3:39,Dolphins,Reggie Bush 2 yard pass from Chad Henne (Dan Carpenter kick),38,24
