Unnamed: 0,DET,TAM
First Downs,11,17
Rush-Yds-TDs,25-91-1,22-69-0
Cmp-Att-Yd-TD-INT,15-27-137-0-0,22-39-302-2-3
Sacked-Yards,2-2,3-18
Net Pass Yards,135,284
Total Yards,226,353
Fumbles-Lost,1-1,1-1
Turnovers,1,4
Penalties-Yards,8-55,7-55
Third Down Conv.,2-12,7-16
Fourth Down Conv.,1-2,0-0
Time of Possession,28:25,31:35
