Quarter,Time,Tm,Detail,DET,TAM
1.0,7:59,Buccaneers,Matt Bryant 43 yard field goal,0,3
2.0,11:30,Lions,Jason Hanson 44 yard field goal,3,3
,4:58,Lions,Kevin Jones 8 yard rush (Jason Hanson kick),10,3
,1:12,Buccaneers,Michael Pittman 41 yard pass from Brian Griese (Matt Bryant kick),10,10
3.0,14:05,Buccaneers,Joey Galloway 80 yard pass from Brian Griese (Matt Bryant kick),10,17
4.0,7:29,Lions,Jason Hanson 23 yard field goal,13,17
