Unnamed: 0,ARI,SEA
First Downs,21,7
Rush-Yds-TDs,26-62-1,11-14-0
Cmp-Att-Yd-TD-INT,34-43-292-2-1,11-30-154-0-1
Sacked-Yards,2-10,5-40
Net Pass Yards,282,114
Total Yards,344,128
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-76,6-56
Third Down Conv.,8-16,0-11
Fourth Down Conv.,0-0,1-1
Time of Possession,42:50,17:10
