Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,ARI 20,0,0,Tim Hightower left guard for 4 yards (tackle by Colin Cole),0.280,0.270
1,14:19,2,6,ARI 24,0,0,Kurt Warner pass complete short right to Tim Hightower for 5 yards (tackle by Lofa Tatupu),0.270,0.230
1,13:33,3,1,ARI 29,0,0,Kurt Warner pass complete short right to Larry Fitzgerald for 7 yards (tackle by Kelly Jennings),0.230,1.330
1,12:51,1,10,ARI 36,0,0,"Penalty on Levi Brown: False Start, 6 yards (no play)",1.330,0.940
1,12:29,1,16,ARI 30,0,0,Tim Hightower right tackle for 5 yards (tackle by Brandon Mebane),0.940,0.660
1,11:49,2,11,ARI 35,0,0,Kurt Warner pass complete short left to Anquan Boldin for 9 yards (tackle by Colin Cole and Aaron Curry),0.660,1.160
1,11:04,3,2,ARI 44,0,0,Kurt Warner pass complete short middle to Steve Breaston for 2 yards (tackle by Lofa Tatupu),1.160,1.990
1,10:22,1,10,ARI 46,0,0,Beanie Wells right end for 2 yards (tackle by Aaron Curry),1.990,1.720
1,9:42,2,8,ARI 48,0,0,Kurt Warner pass complete deep middle to Anquan Boldin for 18 yards (tackle by Kelly Jennings),1.720,3.310
1,9:00,1,10,SEA 34,0,0,"Penalty on Aaron Curry: Neutral Zone Infraction, 5 yards (no play)",3.310,4.040
1,8:39,1,5,SEA 29,0,0,Tim Hightower left guard for 4 yards (tackle by Lofa Tatupu),4.040,3.990
1,7:57,2,1,SEA 25,0,0,Beanie Wells middle for -1 yards (tackle by Will Herring and Jordan Babineaux),3.990,3.140
1,7:08,3,2,SEA 26,0,0,Kurt Warner pass complete short left to Anquan Boldin for 8 yards (tackle by Jordan Babineaux),3.140,4.370
1,6:29,1,10,SEA 18,0,0,Kurt Warner pass complete short left to Larry Fitzgerald for 3 yards (tackle by Kelly Jennings),4.370,4.250
1,5:48,2,7,SEA 15,0,0,Tim Hightower right guard for 3 yards (tackle by Colin Cole),4.250,4.030
1,5:06,3,4,SEA 12,0,0,Kurt Warner pass complete short middle to Jerheme Urban for 10 yards (tackle by Lawyer Milloy),4.030,6.740
1,4:24,1,2,SEA 2,6,0,"Kurt Warner pass complete short left to Larry Fitzgerald for 2 yards, touchdown",6.740,7.000
1,,,,SEA 2,7,0,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,7,0,--,0.000,-4.040
1,4:15,1,10,SEA 23,7,0,Kurt Warner pass complete short middle to Larry Fitzgerald for 9 yards (tackle by Kelly Jennings),4.040,4.950
1,3:48,2,1,SEA 14,7,0,Tim Hightower left tackle for 12 yards (tackle by Jordan Babineaux and Lofa Tatupu),4.950,6.740
1,3:10,1,2,SEA 2,13,0,"Tim Hightower right tackle for 2 yards, touchdown. Penalty on Lofa Tatupu: Unnecessary Roughness, 15 yards",6.740,7.000
1,,,,SEA 2,14,0,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 45,14,0,"Neil Rackers kicks off 55 yards, touchback",0.000,0.280
1,3:07,1,10,SEA 20,14,0,Matt Hasselbeck pass complete short left to Nate Burleson for 14 yards (tackle by Antrel Rolle),0.280,1.200
1,2:35,1,10,SEA 34,14,0,Matt Hasselbeck pass incomplete short right intended for T.J. Houshmandzadeh,1.200,0.660
1,2:32,2,10,SEA 34,14,0,"Matt Hasselbeck sacked by Clark Haggans and Calais Campbell for -9 yards. Matt Hasselbeck fumbles (forced by Clark Haggans), recovered by Bryan Robinson at SEA-23 (tackle by Max Unger)",0.660,-4.040
1,2:24,1,10,SEA 23,14,0,Beanie Wells left end for 9 yards (tackle by Lofa Tatupu),4.040,4.950
1,1:48,2,1,SEA 14,14,0,"Beanie Wells right guard for 6 yards (tackle by Colin Cole). Penalty on Deuce Lutui: Offensive Holding, 10 yards (no play)",4.950,3.360
1,1:20,2,11,SEA 24,14,0,Kurt Warner pass complete short left to Tim Hightower for 1 yard (tackle by Colin Cole),3.360,2.810
1,0:38,3,10,SEA 23,14,0,Kurt Warner pass complete short middle to Steve Breaston for 14 yards (tackle by Lofa Tatupu),2.810,5.140
Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,SEA 9,14,0,Beanie Wells middle for 3 yards (tackle by Brandon Mebane),5.140,4.950
2,14:17,2,6,SEA 6,14,0,Kurt Warner pass incomplete short left intended for LaRod Stephens-Howling (defended by Aaron Curry),4.950,4.040
2,14:13,3,6,SEA 6,14,0,Kurt Warner sacked by Patrick Kerney for -5 yards,4.040,2.700
2,13:42,4,11,SEA 11,17,0,Neil Rackers 29 yard field goal good,2.700,3.000
