Quarter,Time,Tm,Detail,ARI,SEA
1.0,4:18,Cardinals,Larry Fitzgerald 2 yard pass from Kurt Warner (Neil Rackers kick),7,0
,3:07,Cardinals,Tim Hightower 2 yard rush (Neil Rackers kick),14,0
2.0,13:38,Cardinals,Neil Rackers 29 yard field goal,17,0
,3:57,Seahawks,Olindo Mare 28 yard field goal,17,3
3.0,2:54,Cardinals,Steve Breaston 16 yard pass from Kurt Warner (Neil Rackers kick),24,3
4.0,6:05,Cardinals,Neil Rackers 31 yard field goal,27,3
