Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 62 yards, returned by Benny Cunningham for 21 yards (tackle by Javier Arenas)",0.000,-0.540
1,14:53,1,10,STL 24,0,0,Sam Bradford pass complete short right to Lance Kendricks for 10 yards (tackle by Jasper Brinkley),0.540,1.200
1,14:32,1,10,STL 34,0,0,Daryl Richardson up the middle for 6 yards (tackle by Jasper Brinkley),1.200,1.470
1,13:56,2,4,STL 40,0,0,Sam Bradford pass complete short right to Daryl Richardson for 5 yards (tackle by Lorenzo Alexander),1.470,1.930
1,13:27,1,10,STL 45,0,0,"Sam Bradford pass complete short right to Daryl Richardson for 20 yards. Penalty on Jake Long: Offensive Holding, 10 yards (no play)",1.930,1.270
1,12:56,1,20,STL 35,0,0,Daryl Richardson up the middle for 6 yards (tackle by Karlos Dansby),1.270,0.840
1,12:26,2,14,STL 41,0,0,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",0.840,0.170
1,12:08,2,19,STL 36,0,0,Sam Bradford pass incomplete short left intended for Jared Cook,0.170,-0.490
1,12:04,3,19,STL 36,0,0,Sam Bradford pass complete short right to Daryl Richardson for 15 yards (tackle by Rashad Johnson),-0.490,0.000
1,11:37,4,4,ARI 49,0,0,"Johnny Hekker punts 49 yards, touchback",0.000,-0.280
1,11:26,1,10,ARI 20,0,0,Rashard Mendenhall up the middle for no gain (tackle by Rodney McLeod),0.280,-0.270
1,10:53,2,10,ARI 20,0,0,Carson Palmer pass complete short middle to Jim Dray for 10 yards (tackle by Alec Ogletree),-0.270,0.940
1,10:22,1,10,ARI 30,0,0,Carson Palmer pass complete short right to Michael Floyd for 11 yards (tackle by Cortland Finnegan),0.940,1.660
1,9:57,1,10,ARI 41,0,0,Rashard Mendenhall right tackle for 7 yards (tackle by Alec Ogletree),1.660,2.070
1,9:21,2,3,ARI 48,0,0,Rashard Mendenhall up the middle for 11 yards (tackle by Cortland Finnegan),2.070,2.850
1,8:47,1,10,STL 41,0,0,"Carson Palmer sacked by Robert Quinn for -7 yards. Carson Palmer fumbles (forced by Robert Quinn), recovered by Levi Brown at STL-45 and returned for 4 yards",2.850,2.310
1,8:07,2,10,STL 41,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 12 yards (tackle by Janoris Jenkins),2.310,3.640
1,7:20,1,10,STL 29,0,0,Alfonso Smith up the middle for -1 yards (tackle by William Hayes),3.640,2.970
1,6:44,2,11,STL 30,0,0,Alfonso Smith left tackle for -1 yards (tackle by William Hayes),2.970,2.150
1,6:02,3,12,STL 31,0,0,Carson Palmer sacked by Robert Quinn for -8 yards. Penalty on ARI: Illegal Shift (Declined),2.150,0.660
1,5:54,4,20,STL 39,0,0,"Dave Zastudil punts 27 yards, fair catch by Tavon Austin",0.660,0.350
1,5:46,1,10,STL 12,0,0,Daryl Richardson up the middle for 4 yards (tackle by Lorenzo Alexander),-0.350,-0.370
1,5:14,2,6,STL 16,0,0,Daryl Richardson up the middle for 3 yards (tackle by Karlos Dansby),-0.370,-0.600
1,4:38,3,3,STL 19,0,0,Sam Bradford pass complete short right to Chris Givens for 15 yards (tackle by Jerraud Powers),-0.600,1.200
1,3:59,1,10,STL 34,0,0,Daryl Richardson left tackle for 1 yard (tackle by Jasper Brinkley),1.200,0.790
1,3:22,2,9,STL 35,0,0,Sam Bradford pass complete short right to Lance Kendricks for 10 yards (tackle by Karlos Dansby),0.790,1.930
1,2:42,1,10,STL 45,0,0,"Sam Bradford pass complete deep middle to Jared Cook for 47 yards (tackle by Tyrann Mathieu). Jared Cook fumbles (forced by Tyrann Mathieu), recovered by Karlos Dansby at ARI-0",1.930,-0.280
1,2:30,1,10,ARI 20,0,0,Rashard Mendenhall left tackle for 2 yards (tackle by Michael Brockers),0.280,0.000
1,2:01,2,8,ARI 22,0,0,Rashard Mendenhall right tackle for 6 yards (tackle by T.J. McDonald),0.000,0.100
1,1:16,3,2,ARI 28,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 5 yards (tackle by Trumaine Johnson),0.100,1.140
1,0:41,1,10,ARI 33,0,0,Carson Palmer pass complete deep middle to Kory Sperry for 16 yards (tackle by James Laurinaitis),1.140,2.190
1,0:06,1,10,ARI 49,0,0,Rashard Mendenhall right tackle for 3 yards (tackle by Kendall Langford),2.190,2.050
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,STL 48,0,0,Carson Palmer pass complete deep middle to Michael Floyd for 44 yards (tackle by Cortland Finnegan),2.050,6.280
2,14:19,1,4,STL 4,0,0,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,6.280,5.340
2,14:16,2,4,STL 4,6,0,"Carson Palmer pass complete short left to Larry Fitzgerald for 4 yards, touchdown",5.340,7.000
2,14:16,,,STL 2,7,0,Jay Feely kicks extra point good,0.000,0.000
2,14:16,,,ARI 35,7,0,Jay Feely kicks off 44 yards,0.000,-0.340
2,14:08,1,10,STL 21,7,0,Sam Bradford pass complete short left to Tavon Austin for 2 yards (tackle by Tyrann Mathieu),0.340,0.070
2,13:34,2,8,STL 23,7,0,Daryl Richardson up the middle for 10 yards (tackle by Yeremiah Bell),0.070,1.140
2,12:53,1,10,STL 33,7,0,Daryl Richardson up the middle for 3 yards (tackle by Karlos Dansby),1.140,1.000
2,12:20,2,7,STL 36,7,0,"Sam Bradford pass incomplete deep left intended for Tavon Austin. Penalty on Tyrann Mathieu: Defensive Pass Interference, 38 yards (no play)",1.000,3.840
2,12:12,1,10,ARI 26,7,0,"Penalty on Dan Williams: Encroachment, 5 yards (no play)",3.840,4.570
2,12:12,1,5,ARI 21,7,0,Sam Bradford pass incomplete deep left intended for Jared Cook,4.570,3.970
2,12:07,2,5,ARI 21,7,0,Daryl Richardson right tackle for 3 yards (tackle by Dan Williams),3.970,3.750
2,11:30,3,2,ARI 18,7,0,Sam Bradford pass incomplete short left intended for Brian Quick (defended by Jerraud Powers),3.750,2.370
2,11:24,4,2,ARI 18,7,3,Greg Zuerlein 36 yard field goal good,2.370,3.000
2,11:24,,,STL 35,7,3,"Greg Zuerlein kicks off 71 yards, returned by Javier Arenas for 14 yards (tackle by Daren Bates)",0.000,0.380
2,11:15,1,10,ARI 8,7,3,Rashard Mendenhall left end for 4 yards (tackle by Rodney McLeod and T.J. McDonald),-0.380,-0.490
2,10:36,2,6,ARI 12,7,3,Rashard Mendenhall right tackle for no gain (tackle by Chris Long),-0.490,-0.950
2,10:00,3,6,ARI 12,7,3,Carson Palmer pass complete short left to Andre Roberts for 13 yards (tackle by Janoris Jenkins),-0.950,0.610
2,9:19,1,10,ARI 25,7,3,Carson Palmer pass complete short right to Larry Fitzgerald for 13 yards (tackle by Alec Ogletree),0.610,1.470
2,8:36,1,10,ARI 38,7,3,Alfonso Smith up the middle for 2 yards (tackle by Alec Ogletree),1.470,1.190
2,7:59,2,8,ARI 40,7,3,Alfonso Smith up the middle for 5 yards (tackle by Will Witherspoon),1.190,1.160
2,7:22,3,3,ARI 45,7,3,Carson Palmer pass complete short left to Andre Roberts for 10 yards (tackle by Cortland Finnegan),1.160,1.160
2,6:48,3,3,ARI 45,7,3,Timeout #1 by Arizona Cardinals,1.160,2.590
2,6:48,1,10,STL 45,7,3,Carson Palmer pass incomplete short right intended for Patrick Peterson (defended by Trumaine Johnson),2.590,2.040
