Unnamed: 0,SFO,LAR
First Downs,25,15
Rush-Yds-TDs,30-169-2,26-102-1
Cmp-Att-Yd-TD-INT,20-33-292-2-2,20-34-169-0-0
Sacked-Yards,0-0,3-20
Net Pass Yards,292,149
Total Yards,461,251
Fumbles-Lost,1-1,4-2
Turnovers,3,2
Penalties-Yards,4-23,6-46
Third Down Conv.,6-12,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:09,30:51
