Quarter,Time,Tm,Detail,SFO,LAR
1.0,12:08,49ers,Robbie Gould 33 yard field goal,3,0
,5:14,49ers,Marquise Goodwin 8 yard pass from Jimmy Garoppolo (Robbie Gould kick),10,0
,1:11,Rams,Sam Ficken 23 yard field goal,10,3
2.0,5:00,49ers,Robbie Gould 48 yard field goal,13,3
,1:13,49ers,Carlos Hyde 8 yard rush (Robbie Gould kick),20,3
,0:00,Rams,Sam Ficken 21 yard field goal,20,6
3.0,6:12,49ers,Carlos Hyde 5 yard rush (Robbie Gould kick),27,6
4.0,14:54,49ers,Aldrick Robinson 12 yard pass from Jimmy Garoppolo (Robbie Gould kick),34,6
,6:40,Rams,Lance Dunbar 8 yard rush (Sam Ficken kick),34,13
