Quarter,Time,Tm,Detail,NOR,ARI
1.0,4:16,Cardinals,Adrian Wilson 35 yard defensive fumble return (Neil Rackers kick),0,7
2.0,14:56,Saints,John Carney 20 yard field goal,3,7
,1:12,Cardinals,Obafemi Ayanbadejo 21 yard pass from Emmitt Smith (Neil Rackers kick),3,14
3.0,13:02,Saints,Mel Mitchell blocked punt recovery in end zone (John Carney kick),10,14
,1:29,Cardinals,Neil Rackers 26 yard field goal,10,17
4.0,9:44,Cardinals,Neil Rackers 33 yard field goal,10,20
,5:02,Cardinals,Emmitt Smith 29 yard rush (Neil Rackers kick),10,27
,1:54,Cardinals,Troy Hambrick 11 yard rush (Neil Rackers kick),10,34
