Unnamed: 0,NOR,ARI
First Downs,14,19
Rush-Yds-TDs,14-41-0,40-211-2
Cmp-Att-Yd-TD-INT,24-40-242-0-0,13-19-178-1-0
Sacked-Yards,1-4,2-16
Net Pass Yards,238,162
Total Yards,279,373
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,12-104,7-65
Third Down Conv.,1-12,3-12
Fourth Down Conv.,1-3,1-1
Time of Possession,25:50,34:10
