Unnamed: 0,NYJ,WAS
First Downs,16,17
Rush-Yds-TDs,30-101-3,23-100-1
Cmp-Att-Yd-TD-INT,19-32-165-1-0,19-46-221-0-1
Sacked-Yards,0-0,2-17
Net Pass Yards,165,204
Total Yards,266,304
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,6-40,6-50
Third Down Conv.,4-13,5-16
Fourth Down Conv.,1-1,0-0
Time of Possession,32:12,27:48
