Quarter,Time,Tm,Detail,NYJ,WAS
1.0,10:21,Redskins,Roy Helu 2 yard rush (Graham Gano kick),0,7
,1:15,Jets,Shonn Greene 1 yard rush (Nick Folk kick),7,7
2.0,11:32,Redskins,Graham Gano 33 yard field goal,7,10
,3:06,Jets,Nick Folk 45 yard field goal,10,10
,0:19,Redskins,Graham Gano 23 yard field goal,10,13
3.0,6:36,Jets,Nick Folk 51 yard field goal,13,13
4.0,7:52,Redskins,Graham Gano 46 yard field goal,13,16
,4:49,Jets,Santonio Holmes 30 yard pass from Mark Sanchez (Nick Folk kick),20,16
,3:42,Jets,Shonn Greene 9 yard rush (Nick Folk kick),27,16
,1:59,Redskins,Graham Gano 43 yard field goal,27,19
,1:47,Jets,Shonn Greene 25 yard rush (Nick Folk kick),34,19
