Quarter,Time,Tm,Detail,MIA,PHI
2.0,14:35,Dolphins,Ted Ginn Jr. 87 yard punt return (Jay Feely kick),7,0
,7:44,Eagles,David Akers 34 yard field goal,7,3
3.0,11:09,Eagles,Correll Buckhalter 8 yard rush (David Akers kick),7,10
4.0,11:00,Eagles,Jason Avant 4 yard pass from A.J. Feeley (David Akers kick),7,17
