Unnamed: 0,WAS,LAC
First Downs,9,24
Rush-Yds-TDs,21-65-0,35-174-1
Cmp-Att-Yd-TD-INT,15-27-151-1-1,19-34-322-2-1
Sacked-Yards,2-15,2-8
Net Pass Yards,136,314
Total Yards,201,488
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-48,5-40
Third Down Conv.,2-12,6-15
Fourth Down Conv.,1-2,0-0
Time of Possession,24:40,35:20
