Unnamed: 0,NYG,TEN
First Downs,19,12
Rush-Yds-TDs,30-142-1,14-61-0
Cmp-Att-Yd-TD-INT,26-43-260-1-1,23-35-206-0-2
Sacked-Yards,0-0,8-60
Net Pass Yards,260,146
Total Yards,402,207
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,7-70,5-39
Third Down Conv.,8-18,2-13
Fourth Down Conv.,0-0,1-3
Time of Possession,34:43,25:17
