Quarter,Time,Tm,Detail,SFO,WAS
3.0,5:28,49ers,Robbie Gould 28 yard field goal,3,0
4.0,9:03,49ers,Robbie Gould 22 yard field goal,6,0
,0:23,49ers,Robbie Gould 29 yard field goal,9,0
