Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 63 yards, returned by Steven Sims for 17 yards (tackle by Marcell Harris)",0.000,0.150
1,14:55,1,10,WAS 19,0,0,Adrian Peterson right tackle for 14 yards (tackle by Nick Bosa),0.150,1.140
1,14:16,1,10,WAS 33,0,0,Adrian Peterson left end for 5 yards (tackle by Solomon Thomas),1.140,1.270
1,13:41,2,5,WAS 38,0,0,Adrian Peterson left guard for 4 yards (tackle by Kwon Alexander),1.270,1.090
1,13:02,3,1,WAS 42,0,0,Adrian Peterson left tackle for 2 yards (tackle by Emmanuel Moseley and Nick Bosa),1.090,1.860
1,12:25,1,10,WAS 44,0,0,"Penalty on Solomon Thomas: Encroachment, 5 yards (no play)",1.860,2.590
1,12:06,1,5,WAS 49,0,0,Adrian Peterson right tackle for 4 yards (tackle by Jaquiski Tartt and Dre Greenlaw),2.590,2.530
1,11:29,2,1,SFO 47,0,0,Adrian Peterson right end for 4 yards (tackle by Fred Warner and Nick Bosa),2.530,2.720
1,10:49,1,10,SFO 43,0,0,Adrian Peterson right guard for 3 yards,2.720,2.580
1,10:11,2,7,SFO 40,0,0,Wendell Smallwood right end for 17 yards (tackle by Jimmie Ward and Kwon Alexander),2.580,4.040
1,9:25,1,10,SFO 23,0,0,Wendell Smallwood right tackle for 2 yards (tackle by K'Waun Williams),4.040,3.770
1,8:47,2,8,SFO 21,0,0,"Adrian Peterson up the middle for no gain (tackle by Ronald Blair and Sheldon Day). Penalty on Brandon Scherff: Offensive Holding, 10 yards (no play)",3.770,2.420
1,8:18,2,18,SFO 31,0,0,Adrian Peterson up the middle for 13 yards (tackle by Jimmie Ward),2.420,3.490
1,7:35,3,5,SFO 18,0,0,Case Keenum pass complete short middle to Steven Sims for -3 yards (tackle by Nick Bosa),3.490,2.060
1,6:50,4,8,SFO 21,0,0,Dustin Hopkins 39 yard field goal no good,2.060,-0.870
1,6:46,1,10,SFO 29,0,0,Matt Breida left guard for 1 yard (tackle by Jonathan Allen),0.870,0.460
1,6:04,2,9,SFO 30,0,0,Jimmy Garoppolo pass incomplete deep middle intended for Marquise Goodwin (defended by Fabian Moreau),0.460,-0.230
1,5:59,3,9,SFO 30,0,0,Jimmy Garoppolo pass complete short left to George Kittle for 9 yards (tackle by Quinton Dunbar),-0.230,1.530
1,5:21,1,10,SFO 39,0,0,Tevin Coleman right end for 1 yard (tackle by Matthew Ioannidis),1.530,1.120
1,4:44,2,9,SFO 40,0,0,Tevin Coleman right tackle for 2 yards (tackle by Matthew Ioannidis),1.120,0.700
1,3:59,3,7,SFO 42,0,0,Jimmy Garoppolo pass incomplete deep right,0.700,-0.590
1,3:51,4,7,SFO 42,0,0,"Mitch Wishnowsky punts 48 yards, returned by Trey Quinn for no gain (tackle by Raheem Mostert and Tarvarius Moore)",-0.590,0.380
1,3:42,1,10,WAS 10,0,0,Adrian Peterson left end for -1 yards (tackle by Nick Bosa),-0.380,-0.850
1,3:03,2,11,WAS 9,0,0,Case Keenum pass incomplete short left intended for Paul Richardson,-0.850,-1.540
1,3:00,3,11,WAS 9,0,0,Case Keenum pass complete short middle to Steven Sims for 6 yards (tackle by Arik Armstead),-1.540,-2.440
1,2:09,4,5,WAS 15,0,0,Tress Way punts 39 yards downed by Troy Apke,-2.440,-1.990
1,1:58,1,10,SFO 46,0,0,Matt Breida right tackle for 1 yard (tackle by Matthew Ioannidis),1.990,1.590
1,1:36,2,9,SFO 47,0,0,George Kittle left tackle for 2 yards (tackle by Jonathan Bostic and Montez Sweat),1.590,1.160
1,0:54,3,7,SFO 49,0,0,Jimmy Garoppolo up the middle for 11 yards (tackle by Landon Collins),1.160,2.920
1,0:29,1,10,WAS 40,0,0,Jimmy Garoppolo pass incomplete short right intended for Dante Pettis,2.920,2.370
1,0:26,2,10,WAS 40,0,0,Jeff Wilson left tackle for 4 yards (tackle by Cole Holcomb and Landon Collins),2.370,2.210
Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,WAS 36,0,0,Tevin Coleman left end for 6 yards (tackle by Troy Apke),2.210,3.580
2,14:25,1,10,WAS 30,0,0,Jimmy Garoppolo up the middle for 7 yards (tackle by Montez Sweat),3.580,3.980
2,13:38,2,3,WAS 23,0,0,Matt Breida up the middle for 2 yards (tackle by Matthew Ioannidis),3.980,3.530
2,12:56,3,1,WAS 21,0,0,Jimmy Garoppolo up the middle for 2 yards (tackle by Jonathan Allen),3.530,4.310
2,12:22,1,10,WAS 19,0,0,Tevin Coleman right end for -2 yards (tackle by Matthew Ioannidis),4.310,3.490
2,11:44,2,12,WAS 21,0,0,Jimmy Garoppolo pass incomplete short middle intended for Ross Dwelley (defended by Ryan Anderson),3.490,2.810
2,11:39,3,12,WAS 21,0,0,"Jimmy Garoppolo aborted snap, recovered by Jimmy Garoppolo at WAS-27 and returned for -6 yards",2.810,1.670
2,11:00,4,18,WAS 27,0,0,Robbie Gould 45 yard field goal no good,1.670,-1.270
2,10:56,1,10,WAS 35,0,0,Adrian Peterson left tackle for 1 yard (tackle by Solomon Thomas),1.270,0.860
2,10:19,2,9,WAS 36,0,0,Steven Sims right guard for no gain (tackle by Arik Armstead and DeForest Buckner),0.860,0.170
2,9:34,3,9,WAS 36,0,0,Case Keenum pass complete short middle to Terry McLaurin for 11 yards (tackle by Jimmie Ward),0.170,2.060
2,9:00,1,10,WAS 47,0,0,Wendell Smallwood up the middle for 2 yards (tackle by DeForest Buckner),2.060,1.790
2,8:24,2,8,WAS 49,0,0,"Penalty on Kelvin Harmon: False Start, 5 yards (no play)",1.790,1.110
2,8:01,2,13,WAS 44,0,0,"Adrian Peterson right end for 1 yard (tackle by Dee Ford) (tackle by Dee Ford and Jaquiski Tartt). Penalty on Brandon Scherff: Offensive Holding, 10 yards. Penalty on Brandon Scherff: Offensive Holding, 10 yards. Penalty on Brandon Scherff: Offensive Holding, 10 yards. Penalty on Brandon Scherff: Offensive Holding, 10 yards (no play)",1.110,-0.240
2,7:31,2,23,WAS 34,0,0,Case Keenum pass complete short middle to Trey Quinn for 11 yards (tackle by Kwon Alexander),-0.240,0.560
2,6:48,3,12,WAS 45,0,0,Case Keenum pass complete short right to Wendell Smallwood for 18 yards (tackle by Jimmie Ward),0.560,3.120
2,6:04,1,10,SFO 37,0,0,Adrian Peterson up the middle for 3 yards (tackle by DeForest Buckner and Ronald Blair),3.120,2.980
2,5:23,2,7,SFO 34,0,0,Adrian Peterson up the middle for 4 yards (tackle by DeForest Buckner),2.980,2.810
2,4:40,3,3,SFO 30,0,0,Adrian Peterson left tackle for 2 yards (tackle by Ronald Blair),2.810,1.720
2,4:06,4,1,SFO 28,0,0,Adrian Peterson up the middle for -1 yards (tackle by Jullian Taylor and Ronald Blair),1.720,-0.870
2,4:02,1,10,SFO 29,0,0,Matt Breida right end for 9 yards (tackle by Matthew Ioannidis),0.870,1.540
2,3:18,2,1,SFO 38,0,0,Matt Breida right guard for 4 yards (tackle by Matthew Ioannidis),1.540,1.730
2,2:42,1,10,SFO 42,0,0,Jimmy Garoppolo pass incomplete deep right intended for Ross Dwelley,1.730,1.190
2,2:35,2,10,SFO 42,0,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Montae Nicholson),1.190,0.500
2,2:31,3,10,SFO 42,0,0,Jimmy Garoppolo pass complete short middle to Tevin Coleman for no gain (tackle by Landon Collins),0.500,-0.590
2,2:00,4,10,SFO 42,0,0,Mitch Wishnowsky punts 46 yards downed by Tarvarius Moore,-0.590,0.350
2,1:50,1,10,WAS 12,0,0,Case Keenum pass incomplete short right intended for Terry McLaurin,-0.350,-0.780
2,1:46,2,10,WAS 12,0,0,Wendell Smallwood left end for 4 yards (tackle by Emmanuel Moseley),-0.780,-0.950
2,1:38,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:38,3,6,WAS 16,0,0,Case Keenum sacked by Dee Ford for -7 yards,-0.950,-2.490
2,1:31,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:31,4,13,WAS 9,0,0,Tress Way punts 57 yards out of bounds,-2.490,-1.200
2,1:23,1,10,SFO 34,0,0,Matt Breida left end for 11 yards (tackle by Jonathan Allen),1.200,1.930
2,1:04,1,10,SFO 45,0,0,Jimmy Garoppolo pass complete short left to Matt Breida for 1 yard (tackle by Jonathan Bostic),1.930,1.520
2,0:58,2,9,SFO 46,0,0,"Jimmy Garoppolo pass incomplete deep right intended for Dante Pettis. Penalty on Montez Sweat: Illegal Use of Hands, 5 yards (no play)",1.520,2.320
