Unnamed: 0,SFO,WAS
First Downs,17,10
Rush-Yds-TDs,39-137-0,26-104-0
Cmp-Att-Yd-TD-INT,12-21-151-0-1,9-12-77-0-0
Sacked-Yards,2-5,3-27
Net Pass Yards,146,50
Total Yards,283,154
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,2-20,7-47
Third Down Conv.,7-16,3-9
Fourth Down Conv.,1-2,0-1
Time of Possession,33:24,26:36
