Quarter,Time,Down,ToGo,Location,CLE,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Travis Coons kicks off 65 yards, returned by Matthew Dayes for 19 yards (tackle by Derek Watt)",0.000,-0.150
1,14:54,1,10,CLE 19,0,0,DeShone Kizer pass complete short middle to Josh Gordon for 9 yards (tackle by Tre Boston),0.150,0.880
1,14:26,2,1,CLE 28,0,0,Isaiah Crowell left tackle for 4 yards (tackle by Joey Bosa and Brandon Mebane),0.880,1.070
1,13:46,1,10,CLE 32,0,0,Isaiah Crowell middle for 2 yards (tackle by Melvin Ingram),1.070,0.800
1,13:03,2,8,CLE 34,0,0,"DeShone Kizer pass complete short left to Corey Coleman for no gain. Penalty on Corey Coleman: Illegal Formation, 5 yards (no play)",0.800,0.120
1,12:42,2,13,CLE 29,0,0,Isaiah Crowell left end for 16 yards (tackle by Tre Boston),0.120,1.930
1,12:03,1,10,CLE 45,0,0,DeShone Kizer left end for 12 yards (tackle by Kyle Emanuel and Jahleel Addae),1.930,2.720
1,11:20,1,10,LAC 43,0,0,Isaiah Crowell left end for -1 yards (tackle by Denzel Perryman),2.720,2.040
1,10:44,2,11,LAC 44,0,0,DeShone Kizer pass incomplete deep left intended for Corey Coleman,2.040,1.360
1,10:37,3,11,LAC 44,0,0,DeShone Kizer right end for 5 yards (tackle by Adrian Phillips and Jeremiah Attaochu),1.360,0.660
1,9:58,4,6,LAC 39,0,0,Britton Colquitt punts 35 yards,0.660,0.380
1,9:46,1,10,LAC 4,0,0,Philip Rivers pass complete short right to Keenan Allen for 11 yards (tackle by Jason McCourty and Joe Schobert),-0.380,-0.220
1,9:12,1,10,LAC 15,0,0,Melvin Gordon right tackle for 1 yard (tackle by Myles Garrett),-0.220,-0.580
1,8:33,2,9,LAC 16,0,0,Philip Rivers pass complete short middle to Hunter Henry for 6 yards (tackle by Joe Schobert and James Burgess),-0.580,-0.510
1,7:56,3,3,LAC 22,0,0,Philip Rivers pass complete short middle to Hunter Henry for 12 yards (tackle by Christian Kirksey),-0.510,1.200
1,7:19,1,10,LAC 34,0,0,Melvin Gordon left end for 14 yards (tackle by Jabrill Peppers and Joe Schobert),1.200,2.130
1,6:35,1,10,LAC 48,0,0,Melvin Gordon middle for 1 yard (tackle by Jamar Taylor and Joe Schobert),2.130,1.720
1,5:58,2,9,LAC 49,0,0,"Philip Rivers pass incomplete deep right intended for Antonio Gates. Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",1.720,0.370
1,5:52,2,19,LAC 39,0,0,Philip Rivers pass complete short right to Travis Benjamin for 9 yards (tackle by Jason McCourty),0.370,0.890
1,5:14,3,10,LAC 48,0,0,Philip Rivers pass complete short left to Antonio Gates for 12 yards (tackle by Joe Schobert),0.890,2.920
1,4:35,1,10,CLE 40,0,0,Philip Rivers pass complete short right to Hunter Henry for 12 yards (tackle by Joe Schobert),2.920,3.710
1,3:51,1,10,CLE 28,0,0,Philip Rivers pass complete short right to Melvin Gordon for 4 yards (tackle by Christian Kirksey),3.710,3.710
1,3:03,2,6,CLE 24,0,0,Melvin Gordon right guard for 4 yards (tackle by Nate Orchard),3.710,3.530
1,2:26,3,2,CLE 20,0,0,Philip Rivers pass incomplete deep right intended for Keenan Allen,3.530,2.250
1,2:21,4,2,CLE 20,0,0,Travis Coons 38 yard field goal no good,2.250,-0.810
1,2:16,1,10,CLE 28,0,0,DeShone Kizer pass incomplete deep left intended for David Njoku (defended by Jahleel Addae),0.810,0.260
1,2:11,2,10,CLE 28,0,0,Isaiah Crowell right end for -2 yards (tackle by Desmond King),0.260,-0.690
1,1:34,3,12,CLE 26,0,0,"DeShone Kizer pass incomplete deep left intended for Josh Gordon. Penalty on Joey Bosa: Roughing the Passer, 15 yards (no play)",-0.690,1.660
1,1:28,1,10,CLE 41,0,0,Duke Johnson middle for -2 yards (tackle by Joey Bosa and Hayes Pullard),1.660,0.850
1,0:46,2,12,CLE 39,0,0,"DeShone Kizer pass incomplete deep right intended for David Njoku. Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",0.850,1.530
1,0:40,2,7,CLE 44,0,0,Duke Johnson middle for 4 yards (tackle by Joey Bosa),1.530,1.360
Quarter,Time,Down,ToGo,Location,CLE,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,CLE 48,0,0,DeShone Kizer pass complete short right to Seth Devalve for 8 yards (tackle by Jahleel Addae),1.360,2.650
2,14:24,1,10,LAC 44,0,0,DeShone Kizer pass incomplete deep right intended for Josh Gordon,2.650,2.110
2,14:18,2,10,LAC 44,0,0,DeShone Kizer pass incomplete short right intended for Kenny Britt,2.110,1.420
2,14:15,3,10,LAC 44,0,0,DeShone Kizer right end for 9 yards (tackle by Jeremiah Attaochu),1.420,1.000
2,13:31,4,1,LAC 35,0,0,Duke Johnson middle for -2 yards (tackle by Melvin Ingram),1.000,-1.400
2,13:28,1,10,LAC 37,0,0,Philip Rivers pass incomplete short left intended for Tyrell Williams (defended by Derrick Kindred),1.400,0.860
2,13:22,2,10,LAC 37,0,0,Melvin Gordon left end for 2 yards (tackle by Danny Shelton and Joe Schobert),0.860,0.430
2,12:40,3,8,LAC 39,0,0,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Christian Kirksey and Briean Boddy-Calhoun),0.430,2.260
2,12:01,1,10,,0,0,Philip Rivers pass complete deep middle to Keenan Allen for 21 yards (tackle by Jason McCourty),2.260,3.640
2,11:27,1,10,CLE 29,0,0,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Christian Kirksey and James Burgess),3.640,4.320
2,10:48,2,1,CLE 20,0,0,Philip Rivers pass complete short left to Keenan Allen for 13 yards (tackle by Jabrill Peppers),4.320,5.600
2,10:06,1,7,CLE 7,0,0,Philip Rivers pass incomplete short right intended for Hunter Henry,5.600,4.760
2,9:56,2,7,CLE 7,0,0,Philip Rivers pass complete short left to Keenan Allen for 4 yards (tackle by Jason McCourty),4.760,0.000
2,9:11,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-4.720
2,9:11,3,3,CLE 3,0,0,Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Jason McCourty),4.720,3.040
2,9:06,4,3,CLE 3,0,3,Travis Coons 21 yard field goal good,3.040,3.000
2,9:03,,,LAC 35,0,3,"Travis Coons kicks off 65 yards, touchback",0.000,-0.610
2,9:03,1,10,CLE 25,0,3,Isaiah Crowell middle for -1 yards (tackle by Melvin Ingram),0.610,-0.070
