Unnamed: 0,CLE,LAC
First Downs,17,23
Rush-Yds-TDs,22-89-0,25-94-0
Cmp-Att-Yd-TD-INT,15-32-215-1-1,31-43-344-1-0
Sacked-Yards,3-13,1-9
Net Pass Yards,202,335
Total Yards,291,429
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,4-24,5-62
Third Down Conv.,5-11,8-15
Fourth Down Conv.,0-1,1-1
Time of Possession,25:03,34:57
