Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 64 yards, returned by Micheal Spurlock for 18 yards (tackle by Sean Richardson)",0.000,0.150
1,14:54,1,10,JAX 19,0,0,Blaine Gabbert pass complete short right to Justin Blackmon for 15 yards (tackle by Davon House and Casey Hayward),0.150,1.200
1,14:31,1,10,JAX 34,0,0,Rashad Jennings left tackle for 4 yards (tackle by Casey Hayward),1.200,1.200
1,13:55,2,6,JAX 38,0,0,Blaine Gabbert pass complete short right to Cecil Shorts for 2 yards (tackle by Morgan Burnett),1.200,0.760
1,13:15,3,4,JAX 40,0,0,Blaine Gabbert sacked by Brad Jones for -8 yards,0.760,-1.240
1,12:48,4,12,JAX 32,0,0,"Bryan Anger punts 46 yards, fair catch by Randall Cobb",-1.240,-0.410
1,12:40,1,10,GNB 22,0,0,Alex Green left tackle for 2 yards (tackle by C.J. Mosley and Jeremy Mincey),0.410,0.140
1,12:15,2,8,GNB 24,0,0,Aaron Rodgers pass incomplete short right intended for Jermichael Finley,0.140,-0.560
1,12:11,3,8,GNB 24,0,0,Aaron Rodgers pass incomplete short left intended for Alex Green,-0.560,-1.770
1,12:06,4,8,GNB 24,0,0,"Tim Masthay punts 42 yards, out of bounds",-1.770,-1.200
1,11:59,1,10,JAX 34,0,0,Rashad Jennings right end for 3 yards (tackle by C.J. Wilson),1.200,1.060
1,11:21,2,7,JAX 37,0,0,Rashad Jennings left guard for 3 yards (tackle by B.J. Raji),1.060,0.760
1,10:39,3,4,JAX 40,0,0,Blaine Gabbert pass complete deep right to Justin Blackmon for 36 yards (tackle by Morgan Burnett),0.760,3.970
1,9:57,1,10,GNB 24,0,0,Blaine Gabbert pass incomplete short left intended for Kevin Elliott,3.970,3.430
1,9:54,2,10,GNB 24,0,0,Rashad Jennings left guard for 2 yards (tackle by Morgan Burnett),3.430,3.010
1,9:15,3,8,GNB 22,0,0,"Blaine Gabbert pass incomplete short middle intended for Justin Blackmon. Penalty on Eugene Monroe: Offensive Holding, 10 yards (no play)",3.010,1.690
1,9:10,3,18,GNB 32,0,0,Blaine Gabbert pass complete short right to Mike Thomas for 12 yards (tackle by Tramon Williams),1.690,2.150
1,8:27,4,6,GNB 20,3,0,Josh Scobee 38 yard field goal good,2.150,3.000
1,8:23,,,JAX 35,3,0,"Josh Scobee kicks off 63 yards, returned by Randall Cobb for 29 yards (tackle by Mike Harris)",0.000,1.000
1,8:17,1,10,GNB 31,3,0,Aaron Rodgers pass complete short left to James Jones for 12 yards (tackle by William Middleton),1.000,1.800
1,7:41,1,10,GNB 43,3,0,Alex Green up the middle for 5 yards (tackle by Aaron Ross and Austen Lane),1.800,1.930
1,7:11,2,5,GNB 48,3,0,Alex Green left tackle for 3 yards (tackle by Russell Allen),1.930,1.620
1,6:33,3,2,JAX 49,3,0,Aaron Rodgers up the middle for 4 yards (tackle by Aaron Ross),1.620,2.590
1,5:54,1,10,JAX 45,3,0,Alex Green up the middle for 1 yard (tackle by Julian Stanford and C.J. Mosley),2.590,2.180
1,5:15,2,9,JAX 44,3,0,Aaron Rodgers pass complete short left to Alex Green for 12 yards (tackle by Dawan Landry and William Middleton),2.180,3.450
1,4:31,1,10,JAX 32,3,0,Alex Green right end for 7 yards (tackle by Russell Allen),3.450,3.850
1,3:49,2,3,JAX 25,3,0,Aaron Rodgers pass complete short middle to Jermichael Finley for 20 yards (tackle by Mike Harris and Chris Prosinski),3.850,6.060
1,3:02,1,5,JAX 5,3,6,"Aaron Rodgers pass complete short left to Randall Cobb for 5 yards, touchdown",6.060,7.000
1,3:02,,,JAX 2,3,7,Mason Crosby kicks extra point good,0.000,0.000
1,2:54,,,GNB 35,3,7,"Mason Crosby kicks off 71 yards, returned by Micheal Spurlock for 17 yards (tackle by Jarrett Bush)",0.000,-0.370
1,2:51,1,10,JAX 11,3,7,Rashad Jennings left end for 21 yards (tackle by M.D. Jennings),-0.370,1.070
1,2:21,1,10,JAX 32,3,7,Blaine Gabbert pass complete short left to Rashad Jennings for no gain,1.070,0.530
1,1:40,2,10,JAX 32,3,7,Rashad Jennings left guard for 4 yards (tackle by Brad Jones and A.J. Hawk),0.530,0.370
1,1:02,3,6,JAX 36,3,7,Blaine Gabbert pass complete short right to Justin Blackmon for 10 yards (tackle by Tramon Williams),0.370,1.990
1,0:30,1,10,JAX 46,3,7,Blaine Gabbert pass incomplete deep middle intended for Marcedes Lewis,1.990,1.450
1,0:23,2,10,JAX 46,3,7,Rashad Jennings left end for -2 yards (tackle by Clay Matthews),1.450,0.500
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,12,JAX 44,3,7,Blaine Gabbert pass complete short middle to Cecil Shorts for 15 yards (tackle by Davon House and M.D. Jennings),0.500,2.850
2,14:19,1,10,GNB 41,3,7,Rashad Jennings up the middle for 2 yards (tackle by A.J. Hawk and M.D. Jennings),2.850,2.580
2,13:43,2,8,GNB 39,3,7,Blaine Gabbert pass complete deep left to Cecil Shorts for 17 yards (tackle by Casey Hayward),2.580,4.110
2,13:03,1,10,GNB 22,3,7,"Rashad Jennings left tackle for no gain (tackle by Brad Jones). Rashad Jennings fumbles (forced by Brad Jones), recovered by Morgan Burnett at GNB-20 (tackle by Rashad Jennings)",4.110,-0.280
2,12:58,1,10,GNB 20,3,7,Aaron Rodgers pass incomplete short right intended for Tom Crabtree,0.280,-0.270
2,12:53,2,10,GNB 20,3,7,Aaron Rodgers pass complete short left to Jarrett Boykin for 9 yards (tackle by William Middleton),-0.270,0.230
2,12:26,3,1,GNB 29,3,7,Aaron Rodgers up the middle for 1 yard (tackle by Tyson Alualu),0.230,0.940
2,11:43,1,10,GNB 30,3,7,Alex Green left guard for -1 yards (tackle by George Selvie),0.940,0.260
2,11:14,2,11,GNB 29,3,7,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Mike Harris),0.260,0.370
2,10:54,3,5,GNB 35,3,7,Aaron Rodgers pass incomplete short right intended for Alex Green (defended by Russell Allen),0.370,-1.040
2,10:44,4,5,GNB 35,3,7,"Tim Masthay punts 65 yards, touchback",-1.040,-0.280
2,10:35,1,10,JAX 20,3,7,Blaine Gabbert pass incomplete deep middle intended for Cecil Shorts,0.280,-0.270
,,,,,,,"GNB challenged the pass completion ruling, and the original play was overturned.",,
2,10:29,2,10,JAX 20,3,7,Blaine Gabbert pass complete short left to Marcedes Lewis for 16 yards (tackle by Morgan Burnett),-0.270,1.330
2,9:46,1,10,JAX 36,3,7,Rashad Jennings left tackle for 1 yard (tackle by Jerron McMillian),1.330,0.930
2,9:07,2,9,JAX 37,3,7,Blaine Gabbert pass incomplete short right intended for Mike Thomas (defended by Tramon Williams),0.930,0.230
2,9:02,3,9,JAX 37,3,7,Blaine Gabbert pass incomplete deep middle intended for Marcedes Lewis,0.230,-0.910
2,8:58,4,9,JAX 37,3,13,"Bryan Anger punts, blocked by Davon House, recovered by Dezman Moses, touchdown",-0.910,-7.000
2,,,,JAX 2,3,14,Mason Crosby kicks extra point good,0.000,0.000
2,8:45,,,GNB 35,3,14,"Mason Crosby kicks off 62 yards, returned by Keith Toston for 24 yards (tackle by Robert Francois)",0.000,0.740
2,8:40,1,10,JAX 27,3,14,Jalen Parmele right tackle for 1 yard (tackle by Ryan Pickett and B.J. Raji),0.740,0.330
2,8:04,2,9,JAX 28,3,14,"Blaine Gabbert pass incomplete short left intended for Justin Blackmon (defended by Davon House). Penalty on Davon House: Personal Foul, 15 yards (no play)",0.330,1.800
2,7:59,1,10,JAX 43,3,14,Jalen Parmele right guard for 2 yards (tackle by A.J. Hawk),1.800,1.520
2,7:21,2,8,JAX 45,3,14,"Blaine Gabbert pass incomplete short right intended for Cecil Shorts. Penalty on Mike Neal: Defensive Holding, 5 yards (no play)",1.520,2.260
2,7:18,1,10,,3,14,Rashad Jennings left end for 2 yards (tackle by Ryan Pickett),2.260,1.980
2,6:37,2,8,GNB 48,3,14,Blaine Gabbert pass incomplete deep middle intended for Cecil Shorts,1.980,1.290
2,6:33,3,8,GNB 48,3,14,Blaine Gabbert pass incomplete short right intended for Marcedes Lewis,1.290,0.070
2,6:28,4,8,GNB 48,3,14,"Bryan Anger punts 28 yards, fair catch by Randall Cobb",0.070,-0.340
2,6:21,1,10,GNB 21,3,14,Aaron Rodgers pass complete short right to Alex Green for 11 yards (tackle by Russell Allen),0.340,1.070
2,5:55,1,10,GNB 32,3,14,"Aaron Rodgers pass complete short left to Donald Driver for 7 yards (tackle by William Middleton). Penalty on Dawan Landry: Defensive Holding, 5 yards (no play)",1.070,1.400
2,5:29,1,10,GNB 37,3,14,Alex Green left tackle for 3 yards (tackle by Chris Prosinski),1.400,1.260
2,4:56,2,7,GNB 40,3,14,Alex Green left end for 2 yards (tackle by Dawan Landry),1.260,0.830
2,4:14,3,5,GNB 42,3,14,"Aaron Rodgers pass incomplete deep right intended for Jarrett Boykin. Penalty on Mike Harris: Defensive Holding, 5 yards (no play)",0.830,2.060
2,4:08,1,10,GNB 47,3,14,Aaron Rodgers pass incomplete deep middle intended for Jermichael Finley (defended by Chris Prosinski),2.060,1.520
2,3:59,2,10,GNB 47,3,14,Alex Green left guard for no gain (tackle by Austen Lane),1.520,0.830
2,3:18,3,10,GNB 47,3,14,Aaron Rodgers sacked by Jeremy Mincey for -7 yards,0.830,-0.720
2,2:56,4,17,GNB 40,3,14,"Penalty on Jarrett Bush: False Start, 5 yards (no play)",-0.720,-1.040
2,2:43,4,22,GNB 35,3,14,"Tim Masthay punts 36 yards, muffed catch by Micheal Spurlock, ball out of bounds at JAX-31",-1.040,-1.000
