Quarter,Time,Tm,Detail,NYJ,TEN
1.0,11:57,Titans,Delanie Walker 1 yard pass from Jake Locker (Rob Bironas kick),0,7
,4:20,Titans,Rob Bironas 26 yard field goal,0,10
2.0,14:55,Jets,Nick Folk 45 yard field goal,3,10
,6:46,Titans,Nate Washington 4 yard pass from Jake Locker (Rob Bironas kick),3,17
,2:26,Jets,Nick Folk 47 yard field goal,6,17
,0:02,Titans,Justin Hunter 16 yard pass from Jake Locker (Rob Bironas kick),6,24
4.0,11:45,Titans,Karl Klug defensive fumble recovery in end zone (Rob Bironas kick),6,31
,8:49,Jets,Jeff Cumberland 34 yard pass from Geno Smith (Nick Folk kick),13,31
,7:06,Titans,Nate Washington 77 yard pass from Ryan Fitzpatrick (Rob Bironas kick),13,38
