Unnamed: 0,NYJ,TEN
First Downs,16,17
Rush-Yds-TDs,23-91-0,31-78-0
Cmp-Att-Yd-TD-INT,23-34-289-1-2,21-32-257-4-0
Sacked-Yards,5-50,2-13
Net Pass Yards,239,244
Total Yards,330,322
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,10-66,4-30
Third Down Conv.,4-13,10-18
Fourth Down Conv.,0-1,0-0
Time of Possession,29:22,30:38
