Unnamed: 0,CIN,OAK
First Downs,16,20
Rush-Yds-TDs,22-173-1,34-113-1
Cmp-Att-Yd-TD-INT,13-31-115-0-1,25-29-292-1-1
Sacked-Yards,5-42,3-19
Net Pass Yards,73,273
Total Yards,246,386
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,4-40,7-42
Third Down Conv.,3-13,7-15
Fourth Down Conv.,1-2,1-1
Time of Possession,24:38,35:22
