Quarter,Time,Tm,Detail,CIN,OAK
1.0,3:03,Bengals,Joe Mixon 3 yard rush (Randy Bullock kick),7,0
2.0,6:50,Raiders,Foster Moreau 2 yard pass from Derek Carr (Daniel Carlson kick),7,7
,1:37,Raiders,Derek Carr 3 yard rush (Daniel Carlson kick),7,14
3.0,7:25,Bengals,Randy Bullock 40 yard field goal,10,14
4.0,9:12,Raiders,Daniel Carlson 20 yard field goal,10,17
