Quarter,Time,Down,ToGo,Location,CIN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,14:59,1,10,OAK 25,0,0,Josh Jacobs right end for 21 yards (tackle by Nick Vigil),0.610,1.990
1,14:17,1,10,OAK 46,0,0,Derek Carr pass complete short middle to Josh Jacobs for 2 yards (tackle by Germaine Pratt and Nick Vigil),1.990,1.720
1,13:30,2,8,OAK 48,0,0,Josh Jacobs right tackle for 2 yards (tackle by Darqueze Dennard and Nick Vigil),1.720,1.290
1,12:56,3,6,OAK 50,0,0,Derek Carr sacked by and Carlos Dunlap for -9 yards and Geno Atkins for -9 yards,1.290,-0.650
1,12:20,4,15,OAK 41,0,0,"A.J. Cole punts 47 yards, returned by Alex Erickson for 15 yards (tackle by Foster Moreau)",-0.650,-0.740
1,12:10,1,10,CIN 27,0,0,Ryan Finley pass complete short right to Joe Mixon for 17 yards (tackle by D.J. Swearinger),0.740,1.860
1,11:38,1,10,CIN 44,0,0,Ryan Finley pass complete short left to Tyler Boyd for no gain (tackle by Nevin Lawson),1.860,1.320
1,11:00,2,10,CIN 44,0,0,Ryan Finley pass incomplete short left intended for Giovani Bernard (defended by Clelin Ferrell),1.320,0.630
1,10:57,3,10,CIN 44,0,0,"Ryan Finley sacked by Maxx Crosby for -16 yards. Ryan Finley fumbles (forced by Maxx Crosby), recovered by Maurice Hurst at CIN-28 (tackle by John Jerry)",0.630,-3.710
1,10:49,1,10,CIN 28,0,0,Josh Jacobs left guard for 4 yards (tackle by Germaine Pratt and Andrew Billings),3.710,3.710
1,10:17,2,6,CIN 24,0,0,Josh Jacobs left guard for 7 yards (tackle by Nick Vigil),3.710,4.440
1,9:41,1,10,CIN 17,0,0,"Josh Jacobs right tackle for 8 yards (tackle by Josh Tupou). Josh Jacobs fumbles (forced by Josh Tupou), recovered by Nick Vigil at CIN-9 and returned for 6 yards (tackle by Josh Jacobs)",4.440,0.220
1,9:30,1,10,CIN 15,0,0,Joe Mixon right tackle for 30 yards (tackle by Curtis Riley),-0.220,1.930
1,8:50,1,10,CIN 45,0,0,Ryan Finley pass incomplete short left intended for Tyler Boyd (defended by Erik Harris),1.930,1.380
1,8:43,2,10,CIN 45,0,0,Joe Mixon right tackle for 5 yards (tackle by D.J. Swearinger),1.380,1.360
1,7:57,3,5,CIN 50,0,0,"Penalty on Dion Jordan: Neutral Zone Infraction, 4 yards (no play)",1.360,1.880
1,7:38,3,1,OAK 46,0,0,Ryan Finley pass complete short left to C.J. Uzomah for 3 yards (tackle by Erik Harris),1.880,2.720
1,7:15,1,10,OAK 43,0,0,Ryan Finley pass complete short left to C.J. Uzomah for 2 yards (tackle by Nicholas Morrow),2.720,2.450
1,6:42,2,8,OAK 41,0,0,Joe Mixon left end for 4 yards (tackle by Nicholas Morrow),2.450,2.280
1,6:07,3,4,OAK 37,0,0,Ryan Finley pass complete short right to Tyler Eifert for 1 yard (tackle by Trayvon Mullen),2.280,0.890
1,5:21,4,3,OAK 36,0,0,Ryan Finley pass complete short middle to Tyler Eifert for 18 yards (tackle by D.J. Swearinger),0.890,4.370
1,4:37,1,10,OAK 18,0,0,Ryan Finley pass incomplete short middle intended for C.J. Uzomah (defended by Nicholas Morrow),4.370,3.800
1,4:33,2,10,OAK 18,0,0,Giovani Bernard left tackle for 10 yards (tackle by Erik Harris),3.800,5.370
1,3:52,1,8,OAK 8,0,0,Joe Mixon left tackle for 1 yard (tackle by Daryl Worley),5.370,4.760
1,3:14,2,7,OAK 7,0,0,"Ryan Finley pass incomplete short middle intended for Auden Tate (defended by Trayvon Mullen). Penalty on Trayvon Mullen: Defensive Holding, 4 yards (no play)",4.760,6.510
1,3:09,1,3,OAK 3,6,0,"Joe Mixon up the middle for 3 yards, touchdown",6.510,7.000
1,3:03,,,OAK 15,7,0,Randy Bullock kicks extra point good,0.000,0.000
1,3:03,,,CIN 35,7,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,3:03,1,10,OAK 25,7,0,Derek Carr pass complete short right to Darren Waller for 3 yards (tackle by B.W. Webb),0.610,0.470
1,2:29,2,7,OAK 28,7,0,Derek Carr pass complete short right to Josh Jacobs for 7 yards (tackle by Germaine Pratt and Darqueze Dennard),0.470,1.270
1,1:49,1,10,OAK 35,7,0,Josh Jacobs up the middle for 3 yards (tackle by Geno Atkins),1.270,1.130
1,1:14,2,7,OAK 38,7,0,Derek Carr sacked by Geno Atkins for -6 yards,1.130,-0.360
1,0:35,3,13,OAK 32,7,0,Derek Carr pass complete short left to Hunter Renfrow for 4 yards (tackle by Shawn Williams),-0.360,-0.980
Quarter,Time,Down,ToGo,Location,CIN,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,9,OAK 36,7,0,"A.J. Cole punts 39 yards, returned by Alex Erickson for 6 yards (tackle by Isaiah Johnson and Alec Ingold)",-0.980,-1.000
2,14:48,1,10,CIN 31,7,0,Joe Mixon right tackle for 1 yard (tackle by D.J. Swearinger and Maxx Crosby),1.000,0.600
2,14:13,2,9,CIN 32,7,0,Ryan Finley pass incomplete short right intended for C.J. Uzomah,0.600,-0.100
2,14:09,3,9,CIN 32,7,0,Ryan Finley pass incomplete short left intended for Alex Erickson (defended by Isaiah Johnson),-0.100,-1.240
2,14:04,4,9,CIN 32,7,0,"Kevin Huber punts 50 yards, fair catch by Trevor Davis at OAK-18. Penalty on Keisean Nixon: Illegal Block Above the Waist, 9 yards",-1.240,0.380
2,13:57,1,10,OAK 9,7,0,DeAndre Washington up the middle for 1 yard (tackle by Carlos Dunlap and Hardy Nickerson),-0.380,-0.710
2,13:24,2,9,OAK 10,7,0,Derek Carr pass complete short middle to Tyrell Williams for 24 yards (tackle by Nick Vigil),-0.710,1.200
2,12:38,1,10,OAK 34,7,0,Derek Carr pass complete short left to DeAndre Washington for 6 yards (tackle by Nick Vigil),1.200,1.470
2,12:10,2,4,OAK 40,7,0,DeAndre Washington left tackle for -2 yards (tackle by Josh Tupou),1.470,0.500
2,11:27,3,6,OAK 38,7,0,Derek Carr pass complete deep middle to Tyrell Williams for 20 yards (tackle by Brandon Wilson and Shawn Williams),0.500,2.790
2,10:40,1,10,CIN 42,7,0,Jalen Richard left end for -4 yards (tackle by Andrew Billings),2.790,1.700
2,9:59,2,14,CIN 46,7,0,Derek Carr pass complete short left to DeAndre Washington for 8 yards (tackle by Nick Vigil),1.700,2.080
2,9:15,3,6,CIN 38,7,0,Derek Carr pass complete deep right to Hunter Renfrow for 27 yards (tackle by William Jackson),2.080,4.840
2,8:41,1,10,CIN 11,7,0,"Penalty on OAK: Offensive Too Many Men on Field, 5 yards (no play)",4.840,4.340
2,8:17,,,,,,Timeout #1 by Oakland Raiders,,
2,8:17,1,15,CIN 16,7,0,Derek Carr pass complete short middle to Darren Waller for 14 yards (tackle by Carl Lawson),4.340,5.850
2,7:38,2,1,CIN 2,7,0,Josh Jacobs right tackle for no gain (tackle by Sam Hubbard),5.850,5.120
2,6:55,3,1,CIN 2,7,6,"Derek Carr pass complete short left to Foster Moreau for 2 yards, touchdown",5.120,7.000
2,6:50,,,CIN 15,7,7,Daniel Carlson kicks extra point good,0.000,0.000
2,6:50,,,OAK 35,7,7,"Daniel Carlson kicks off 65 yards, returned by Brandon Wilson for 20 yards (tackle by Kyle Wilber). Penalty on Jordan Evans: Offensive Holding, 10 yards",0.000,-0.380
2,6:45,1,10,CIN 10,7,7,Tyler Boyd right end for 10 yards (tackle by Curtis Riley),-0.380,0.280
2,6:07,1,10,CIN 20,7,7,Joe Mixon left guard for 3 yards (tackle by Josh Mauro),0.280,0.140
2,5:31,2,7,CIN 23,7,7,Ryan Finley pass incomplete short left intended for Joe Mixon,0.140,-0.560
2,5:27,,,,,,Timeout #1 by Cincinnati Bengals,,
2,5:27,3,7,CIN 23,7,7,Ryan Finley pass incomplete short left intended for Tyler Boyd (defended by Daryl Worley),-0.560,-1.830
2,5:23,4,7,CIN 23,7,7,"Kevin Huber punts 57 yards, fair catch by Trevor Davis at OAK-20",-1.830,-0.280
2,5:16,1,10,OAK 20,7,7,Josh Jacobs right tackle for 10 yards (tackle by Hardy Nickerson and Darqueze Dennard),0.280,0.940
2,4:40,1,10,OAK 30,7,7,"Derek Carr pass complete deep left to Tyrell Williams for 21 yards (tackle by B.W. Webb). Penalty on Sam Hubbard: Roughing the Passer, 15 yards",0.940,3.310
2,4:18,1,10,CIN 34,7,7,Josh Jacobs left guard for 9 yards (tackle by Shawn Williams),3.310,3.990
2,3:36,2,1,CIN 25,7,7,Josh Jacobs up the middle for 5 yards (tackle by Darqueze Dennard and Germaine Pratt),3.990,4.240
2,2:54,1,10,CIN 20,7,7,Derek Carr pass complete short middle to Josh Jacobs for 3 yards (tackle by Nick Vigil),4.240,4.120
2,2:13,2,7,CIN 17,7,7,Josh Jacobs left end for 5 yards (tackle by Germaine Pratt and Jessie Bates),4.120,4.340
2,2:00,3,2,CIN 12,7,7,Derek Carr pass complete short left to Hunter Renfrow for 10 yards (tackle by Darqueze Dennard),4.340,6.740
2,1:51,,,,,,Timeout #2 by Cincinnati Bengals,,
