Quarter,Time,Tm,Detail,DEN,BAL
1.0,7:13,Broncos,Matt Prater 27 yard field goal,3,0
2.0,11:51,Broncos,Jacob Hester 1 yard rush (Matt Prater kick),10,0
,0:15,Broncos,Chris Harris Jr. 98 yard interception return (Matt Prater kick),17,0
3.0,12:18,Ravens,Justin Tucker 45 yard field goal,17,3
,9:53,Broncos,Eric Decker 51 yard pass from Peyton Manning (Matt Prater kick),24,3
,7:40,Broncos,Knowshon Moreno 6 yard rush (Matt Prater kick),31,3
4.0,14:31,Ravens,Dennis Pitta 31 yard pass from Joe Flacco (Justin Tucker kick),31,10
,4:32,Broncos,Matt Prater 36 yard field goal,34,10
,4:08,Ravens,Dennis Pitta 61 yard pass from Joe Flacco (Justin Tucker kick),34,17
