Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 62 yards, returned by Jawill Davis for no gain (tackle by Ben Jacobs and Andre Smith)",0.000,0.740
1,14:52,1,10,NYG 27,0,0,Saquon Barkley left guard for -2 yards (tackle by Luke Kuechly and Julius Peppers),0.740,-0.070
1,14:18,2,12,NYG 25,0,0,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by James Bradberry),-0.070,1.470
1,13:47,1,10,NYG 38,0,0,Saquon Barkley up the middle for 2 yards (tackle by Mike Adams),1.470,1.190
1,13:18,2,8,NYG 40,0,0,Eli Manning pass incomplete short right intended for Odell Beckham,1.190,0.500
1,13:13,3,8,NYG 40,0,0,Eli Manning pass incomplete short middle intended for Sterling Shepard (defended by Captain Munnerlyn),0.500,-0.720
1,13:08,4,8,NYG 40,0,0,"Riley Dixon punts 51 yards, returned by Damiere Byrd for -3 yards (tackle by Jawill Davis)",-0.720,0.380
1,12:56,1,10,CAR 6,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Connor Barwin and Landon Collins),-0.380,-0.560
1,12:11,2,7,CAR 9,0,0,"Penalty on Chris Clark: False Start, 4 yards (no play)",-0.560,-0.850
1,11:44,2,11,CAR 5,0,0,"Penalty on CAR: Delay of Game, 3 yards (no play)",-0.850,-1.070
1,11:23,2,14,CAR 2,0,0,Alex Armah right guard for 4 yards (tackle by B.J. Goodson and Damon Harrison),-1.070,-1.420
1,10:39,3,10,CAR 6,0,0,Cam Newton pass incomplete short left intended for Devin Funchess (defended by Janoris Jenkins),-1.420,-2.490
1,10:33,4,10,CAR 6,0,0,"Michael Palardy punts 48 yards, returned by Odell Beckham for 15 yards (tackle by J.J. Jansen)",-2.490,-2.980
1,10:21,1,10,CAR 39,0,0,Saquon Barkley right tackle for 1 yard (tackle by Julius Peppers and James Bradberry),2.980,2.580
1,9:53,2,9,CAR 38,0,0,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by James Bradberry),2.580,3.910
1,9:18,1,10,CAR 25,0,0,Eli Manning pass incomplete short left intended for Russell Shepard,3.910,3.360
1,9:13,2,10,CAR 25,0,0,Saquon Barkley up the middle for -2 yards (tackle by Shaq Thompson),3.360,2.410
1,8:34,3,12,CAR 27,0,0,"Penalty on Russell Shepard: False Start, 5 yards (no play)",2.410,1.750
1,8:09,3,17,CAR 32,0,0,Eli Manning pass complete short right to Saquon Barkley for 9 yards (tackle by Shaq Thompson and Donte Jackson),1.750,1.930
1,7:30,4,8,CAR 23,3,0,Aldrick Rosas 42 yard field goal good,1.930,3.000
1,7:24,,,NYG 35,3,0,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,7:24,1,10,CAR 25,3,0,Cam Newton pass complete short right to Devin Funchess for 12 yards,0.610,1.400
1,7:04,1,10,CAR 37,3,0,D.J. Moore left guard for 18 yards (tackle by Curtis Riley),1.400,2.590
1,6:12,,,,,,Timeout #1 by Carolina Panthers,,
1,6:12,1,10,NYG 45,3,0,Cam Newton pass complete short left to Ian Thomas for 7 yards (tackle by B.W. Webb and Landon Collins),2.590,2.990
1,5:37,2,3,NYG 38,3,0,Christian McCaffrey up the middle for 13 yards (tackle by B.W. Webb),2.990,3.910
1,4:49,1,10,NYG 25,3,6,"Cam Newton pass complete short left to Curtis Samuel for 25 yards, touchdown",3.910,7.000
1,4:38,,,NYG 15,3,7,Graham Gano kicks extra point good,0.000,0.000
1,4:38,,,CAR 35,3,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,4:38,1,10,NYG 25,3,7,Eli Manning pass complete short right to Sterling Shepard for 10 yards (tackle by James Bradberry),0.610,1.270
1,4:03,1,10,NYG 35,3,7,Eli Manning pass incomplete deep right intended for Jawill Davis,1.270,0.720
1,3:57,2,10,NYG 35,3,7,Eli Manning pass complete short right to Odell Beckham for 19 yards (tackle by Eric Reid),0.720,2.520
1,3:14,1,10,CAR 46,3,7,Eli Manning sacked by Luke Kuechly for -1 yards,2.520,1.840
1,2:30,2,11,CAR 47,3,7,Saquon Barkley right end for -3 yards (tackle by Vernon Butler and Shaq Thompson),1.840,0.760
1,1:37,,,,,,Timeout #1 by New York Giants,,
