Unnamed: 0,NYG,CAR
First Downs,18,21
Rush-Yds-TDs,16-50-0,31-118-0
Cmp-Att-Yd-TD-INT,23-37-383-3-2,21-35-237-2-2
Sacked-Yards,1-1,1-5
Net Pass Yards,382,232
Total Yards,432,350
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,8-62,4-22
Third Down Conv.,0-7,4-13
Fourth Down Conv.,1-2,1-1
Time of Possession,24:33,35:27
