Unnamed: 0,CLE,CIN
First Downs,11,21
Rush-Yds-TDs,18-58-1,45-210-0
Cmp-Att-Yd-TD-INT,16-35-118-0-0,13-24-110-1-0
Sacked-Yards,1-7,3-14
Net Pass Yards,111,96
Total Yards,169,306
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-30,10-75
Third Down Conv.,4-14,8-17
Fourth Down Conv.,1-2,0-0
Time of Possession,21:49,38:11
