Quarter,Time,Tm,Detail,KAN,NYJ
1.0,5:17,Chiefs,Morten Andersen 36 yard field goal,3,0
,2:41,Jets,Curtis Martin 17 yard rush (John Hall kick),3,7
2.0,8:29,Chiefs,Morten Andersen 40 yard field goal,6,7
,1:39,Chiefs,Priest Holmes 12 yard rush (pass failed),12,7
,0:07,Jets,Anthony Becht 2 yard pass from Chad Pennington (two point pass successful),12,15
3.0,11:06,Chiefs,Morten Andersen 27 yard field goal,15,15
4.0,13:31,Jets,Santana Moss 27 yard pass from Chad Pennington (John Hall kick),15,22
,10:15,Chiefs,Dante Hall 60 yard pass from Trent Green (Morten Andersen kick),22,22
,2:54,Jets,John Hall 25 yard field goal,22,25
,0:27,Chiefs,Priest Holmes 19 yard pass from Trent Green (Morten Andersen kick),29,25
