Unnamed: 0,NWE,CIN
First Downs,25,17
Rush-Yds-TDs,34-173-1,15-57-0
Cmp-Att-Yd-TD-INT,25-32-231-3-1,21-35-234-1-2
Sacked-Yards,0-0,1-8
Net Pass Yards,231,226
Total Yards,404,283
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,3-20,8-65
Third Down Conv.,7-12,0-7
Fourth Down Conv.,1-1,1-1
Time of Possession,37:24,22:36
