Quarter,Time,Tm,Detail,NWE,CIN
1.0,10:34,Patriots,Stephen Gostkowski 31 yard field goal,3,0
,0:51,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Stephen Gostkowski kick),10,0
2.0,10:59,Bengals,T.J. Houshmandzadeh 1 yard pass from Carson Palmer (Shayne Graham kick),10,7
,4:11,Patriots,Randy Moss 7 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
3.0,7:55,Patriots,Sammy Morris 7 yard rush (Stephen Gostkowski kick),24,7
,4:10,Bengals,Shayne Graham 40 yard field goal,24,10
4.0,13:03,Patriots,Stephen Gostkowski 36 yard field goal,27,10
,9:04,Bengals,Shayne Graham 48 yard field goal,27,13
,3:18,Patriots,Randy Moss 14 yard pass from Tom Brady (Stephen Gostkowski kick),34,13
