Unnamed: 0,MIA,ARI
First Downs,21,19
Rush-Yds-TDs,29-86-1,15-28-0
Cmp-Att-Yd-TD-INT,26-41-431-1-2,29-48-324-3-2
Sacked-Yards,4-37,8-55
Net Pass Yards,394,269
Total Yards,480,297
Fumbles-Lost,2-2,4-0
Turnovers,4,2
Penalties-Yards,4-40,6-62
Third Down Conv.,6-16,4-16
Fourth Down Conv.,1-1,2-2
Time of Possession,35:00,31:31
