Quarter,Time,Tm,Detail,NYJ,NYG
1,12:07,Giants,Graham Gano 31 yard field goal,0,3
,1:06,Jets,Breece Hall 50 yard pass from Zach Wilson (Greg Zuerlein kick),7,3
3,8:59,Giants,Tommy DeVito 6 yard rush (Graham Gano kick),7,10
4,0:00,Jets,Greg Zuerlein 35 yard field goal,10,10
OT,6:09,Jets,Greg Zuerlein 33 yard field goal,13,10
