Unnamed: 0,NYJ,NYG
First Downs,12,12
Rush-Yds-TDs,22-58-0,52-203-1
Cmp-Att-Yd-TD-INT,17-36-240-1-0,6-14-7-0-0
Sacked-Yards,4-47,4-16
Net Pass Yards,193,-9
Total Yards,251,194
Fumbles-Lost,2-2,2-0
Turnovers,2,0
Penalties-Yards,9-85,6-73
Third Down Conv.,2-15,2-19
Fourth Down Conv.,0-1,0-0
Time of Possession,25:38,38:13
