Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Breece Hall,NYJ,12,17,0,0,4,0.3,13,1.1,0,
Zach Wilson,NYJ,4,25,0,1,25,6.3,0,0.0,0,
Michael Carter,NYJ,2,2,0,,1,0.5,1,0.5,0,
Dalvin Cook,NYJ,2,5,0,1,4,2.0,1,0.5,0,
Xavier Gipson,NYJ,1,3,0,,2,2.0,1,1.0,0,
Garrett Wilson,NYJ,1,6,0,0,3,3.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,36,128,0,4,42,1.2,86,2.4,1,36.0
Matt Breida,NYG,5,13,0,,7,1.4,6,1.2,0,
Tyrod Taylor,NYG,5,33,0,1,14,2.8,19,3.8,0,
Tommy DeVito,NYG,4,12,1,1,12,3.0,0,0.0,0,
Wan'Dale Robinson,NYG,2,17,0,1,14,7.0,3,1.5,0,
