Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"John Hall kicks off 57 yards, returned by Derrick Ward for 34 yards (tackle by James Thrash)",0.000,2.060
1,14:54,1,10,NYG 47,0,0,Eli Manning pass complete to Jim Finn for 4 yards (tackle by Antonio Pierce),2.060,2.060
1,14:14,2,6,WAS 49,0,0,Tiki Barber left tackle for 1 yard (tackle by Cornelius Griffin),2.060,1.490
1,13:30,3,5,WAS 48,0,0,Eli Manning sacked by Phillip Daniels for -6 yards,1.490,-0.320
1,13:10,4,11,NYG 46,0,0,"Jeff Feagles punts 41 yards, fair catch by James Thrash. Penalty on Rock Cartwright: Offensive Holding, 6 yards",-0.320,0.380
1,13:02,1,10,WAS 7,0,0,Clinton Portis left guard for 9 yards (tackle by Kevin Lewis),-0.380,-0.020
1,12:25,2,1,WAS 16,0,0,Clinton Portis left end for 5 yards (tackle by Terry Cousin),-0.020,0.340
1,11:48,1,10,WAS 21,0,0,Clinton Portis up the middle for 6 yards (tackle by Carlos Emmons and Barrett Green),0.340,0.610
1,11:17,2,4,WAS 27,0,0,Clinton Portis left end for 12 yards (tackle by Terry Cousin),0.610,1.530
1,10:52,1,10,WAS 39,0,0,Clinton Portis right guard for 3 yards (tackle by Barrett Green),1.530,1.390
1,10:18,2,7,WAS 42,0,0,Patrick Ramsey pass complete to Chris Cooley for 13 yards (tackle by Brent Alexander),1.390,2.590
1,9:37,1,10,NYG 45,0,0,Ladell Betts right end for 9 yards (tackle by Curtis DeLoatch),2.590,3.260
1,8:58,2,1,NYG 36,0,0,Ladell Betts left tackle for 3 yards (tackle by Fred Robbins),3.260,3.380
1,8:21,1,10,NYG 33,0,0,Patrick Ramsey pass complete to Laveranues Coles for 7 yards (tackle by Will Allen),3.380,3.780
1,7:50,2,3,NYG 26,0,0,Clinton Portis right end for 13 yards (tackle by Terry Cousin),3.780,4.710
1,7:07,1,10,NYG 13,0,0,Patrick Ramsey pass complete to Laveranues Coles for 4 yards (tackle by Will Allen),4.710,4.770
1,6:30,2,6,NYG 9,0,0,Patrick Ramsey pass complete to Brian Kozlowski for 8 yards (tackle by Will Allen),4.770,6.970
1,5:50,1,1,NYG 1,0,6,"Clinton Portis left tackle for 1 yard, touchdown",6.970,7.000
1,,,,NYG 2,0,7,John Hall kicks extra point good,0.000,0.000
1,,,,WAS 30,0,7,"John Hall kicks off 56 yards, returned by Derrick Ward for 10 yards (tackle by Pat Dennis)",0.000,0.540
1,5:43,1,10,NYG 24,0,7,Tiki Barber right guard for -1 yards (tackle by Cornelius Griffin),0.540,-0.140
1,5:04,2,11,NYG 23,0,7,Eli Manning pass complete to Jim Finn for 4 yards (tackle by Antonio Pierce),-0.140,-0.300
1,4:22,3,7,NYG 27,0,7,Tiki Barber left end for no gain (tackle by Marcus Washington),-0.300,-1.570
1,3:46,4,7,NYG 27,0,7,"Jeff Feagles punts 45 yards, fair catch by James Thrash. Penalty on Ade Jimoh: Running Into the Kicker, 5 yards (no play)",-1.570,-1.240
1,3:39,4,2,NYG 32,0,7,Jeff Feagles punts 28 yards,-1.240,-1.600
1,3:29,1,10,WAS 40,0,7,Clinton Portis up the middle for no gain (tackle by Kenderick Allen),1.600,1.050
1,2:54,2,10,WAS 40,0,7,"Clinton Portis left guard for no gain (tackle by Osi Umenyiora). Penalty on William Joseph: Defensive Offside, 5 yards (no play)",1.050,1.730
1,2:35,2,5,WAS 45,0,7,Patrick Ramsey pass complete to Darnerien McCants for 8 yards (tackle by Will Allen),1.730,2.460
1,1:57,1,10,NYG 47,0,7,Clinton Portis left tackle for 5 yards (tackle by Carlos Emmons),2.460,2.590
1,1:26,2,5,NYG 42,0,7,Patrick Ramsey pass incomplete intended for Robert Royal (defended by Carlos Emmons),2.590,1.880
1,1:24,3,5,NYG 42,0,7,Patrick Ramsey sacked by William Joseph for -6 yards,1.880,0.070
1,1:06,4,11,NYG 48,0,7,"Tom Tupa punts 34 yards, out of bounds. Penalty on Mike Sellers: Ineligible Downfield Kick, 5 yards (no play)",0.070,-0.260
1,0:57,4,16,WAS 47,0,7,"Tom Tupa punts 45 yards, returned by Mark Jones for 3 yards (tackle by Mike Sellers)",-0.260,0.370
1,0:47,1,10,NYG 11,0,7,Eli Manning pass complete to Ike Hilliard for 4 yards (tackle by Antonio Pierce),-0.370,-0.430
