Unnamed: 0,NYG,WAS
First Downs,7,27
Rush-Yds-TDs,15-38-0,45-211-1
Cmp-Att-Yd-TD-INT,12-25-113-0-0,19-22-174-3-0
Sacked-Yards,1-6,1-6
Net Pass Yards,107,168
Total Yards,145,379
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-40,8-66
Third Down Conv.,1-9,4-9
Fourth Down Conv.,0-2,0-0
Time of Possession,19:31,40:29
