Unnamed: 0,NOR,DAL
First Downs,21,18
Rush-Yds-TDs,37-105-2,27-121-1
Cmp-Att-Yd-TD-INT,18-31-252-1-2,14-36-160-0-2
Sacked-Yards,2-13,3-12
Net Pass Yards,239,148
Total Yards,344,269
Fumbles-Lost,0-0,3-2
Turnovers,2,4
Penalties-Yards,9-136,11-76
Third Down Conv.,3-11,2-13
Fourth Down Conv.,0-1,0-1
Time of Possession,31:35,28:25
