Quarter,Time,Tm,Detail,NOR,DAL
1.0,3:19,Cowboys,Billy Cundiff 34 yard field goal,0,3
,0:21,Cowboys,Julius Jones 1 yard rush (Billy Cundiff kick),0,10
2.0,5:56,Saints,Deuce McAllister 5 yard rush (John Carney kick),7,10
,0:36,Saints,John Carney 39 yard field goal,10,10
3.0,10:33,Cowboys,Billy Cundiff 41 yard field goal,10,13
,6:07,Saints,John Carney 44 yard field goal,13,13
4.0,5:21,Saints,Deuce McAllister 4 yard rush (John Carney kick),20,13
,2:47,Saints,Joe Horn 31 yard pass from Aaron Brooks (John Carney kick),27,13
