Unnamed: 0,SFO,MIN
First Downs,20,19
Rush-Yds-TDs,25-90-0,32-116-0
Cmp-Att-Yd-TD-INT,15-33-261-1-3,20-36-244-2-0
Sacked-Yards,3-24,3-17
Net Pass Yards,237,227
Total Yards,327,343
Fumbles-Lost,3-1,1-1
Turnovers,4,1
Penalties-Yards,3-21,7-52
Third Down Conv.,5-13,7-17
Fourth Down Conv.,0-0,0-1
Time of Possession,28:51,31:09
