Unnamed: 0,WAS,SEA
First Downs,16,27
Rush-Yds-TDs,14-68-0,26-120-0
Cmp-Att-Yd-TD-INT,29-44-312-3-0,31-47-369-2-0
Sacked-Yards,3-24,1-0
Net Pass Yards,288,369
Total Yards,356,489
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-39,8-50
Third Down Conv.,7-15,4-14
Fourth Down Conv.,1-1,1-1
Time of Possession,29:33,30:27
