Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Commanders to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 63 yards, returned by Antonio Gibson for 33 yards (tackle by Derick Hall and Julian Love)",0.000,1.270
1,14:53,1,10,WAS 35,0,0,Sam Howell pass incomplete short right intended for Curtis Samuel (defended by Devon Witherspoon),1.270,0.720
1,14:50,2,10,WAS 35,0,0,Sam Howell pass complete short middle to John Bates for 12 yards (tackle by Riq Woolen and Jamal Adams),0.720,2.060
1,14:11,1,10,WAS 47,0,0,Brian Robinson up the middle for 2 yards (tackle by Dre'Mont Jones and Bobby Wagner),2.060,1.790
1,13:36,2,8,WAS 49,6,0,"Sam Howell pass complete short left to Brian Robinson for 51 yards, touchdown",1.790,7.000
1,13:26,,,SEA 15,6,0,Joey Slye kicks extra point no good,0.000,-1.000
1,13:26,,,WAS 35,6,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,13:26,1,10,SEA 25,6,0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 10 yards (tackle by Kendall Fuller),0.610,1.270
1,12:54,1,10,SEA 35,6,0,Kenneth Walker left guard for 4 yards (tackle by Jonathan Allen),1.270,1.260
1,12:21,2,6,SEA 39,6,0,Geno Smith pass incomplete short right,1.260,0.560
1,12:13,3,6,SEA 39,6,0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 20 yards (tackle by Kamren Curl),0.560,2.850
1,11:30,1,10,WAS 41,6,0,"Geno Smith pass complete short right to Kenneth Walker for no gain (tackle by Andre Jones). Penalty on Charles Cross: Offensive Holding, 10 yards (accepted) (no play)",2.850,2.190
1,11:18,1,20,SEA 49,6,0,Geno Smith pass complete short middle to Will Dissly for 6 yards (tackle by David Mayo and Jamin Davis),2.190,1.770
1,10:43,2,14,WAS 45,6,0,"Geno Smith pass incomplete short middle intended for Tyler Lockett. Penalty on Emmanuel Forbes: Disqualification / Defense, 15 yards (accepted) (no play)",1.770,3.580
1,10:33,1,10,WAS 30,6,0,Kenneth Walker left end for no gain (tackle by Jonathan Allen),3.580,3.030
1,10:01,2,10,WAS 30,6,0,Geno Smith pass incomplete short left intended for Kenneth Walker (defended by Casey Toohill),3.030,2.340
1,9:55,3,10,WAS 30,6,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Danny Johnson),2.340,2.210
1,9:02,4,1,WAS 21,6,0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",2.210,1.760
1,8:48,4,6,WAS 26,6,3,Jason Myers 45 yard field goal good,1.760,3.000
1,8:43,,,SEA 35,6,3,"Jason Myers kicks off 63 yards, returned by Antonio Gibson for 27 yards (tackle by Jon Rhattigan)",0.000,0.870
1,8:38,1,10,WAS 29,6,3,Brian Robinson up the middle for no gain (tackle by Boye Mafe),0.870,0.330
1,8:01,2,10,WAS 29,6,3,Sam Howell pass complete short right to Terry McLaurin for 13 yards (tackle by Tre Brown),0.330,1.730
1,7:16,1,10,WAS 42,6,3,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Devon Witherspoon),1.730,1.190
1,7:14,2,10,WAS 42,6,3,Sam Howell pass complete short left to Terry McLaurin for 1 yard (tackle by Boye Mafe),1.190,0.630
1,6:34,3,9,WAS 43,6,3,"Penalty on Charles Leno: False Start, 4 yards (accepted) (no play)",0.630,0.100
1,6:22,3,13,WAS 39,6,3,Sam Howell pass complete short right to Antonio Gibson for 3 yards (tackle by Jamal Adams),0.100,-0.590
1,5:45,4,10,WAS 42,6,3,"Tress Way punts 43 yards, fair catch by DeeJay Dallas at SEA-15",-0.590,0.220
1,5:36,1,10,SEA 15,6,3,Geno Smith pass complete short right to Jake Bobo for 2 yards (tackle by Kendall Fuller),-0.220,-0.440
1,5:09,2,8,SEA 17,6,3,Kenneth Walker up the middle for 7 yards (tackle by Kamren Curl and David Mayo),-0.440,-0.270
1,4:34,3,1,SEA 24,6,3,Geno Smith pass complete short left to D.K. Metcalf for 3 yards (tackle by Kendall Fuller),-0.270,0.740
1,3:54,1,10,SEA 27,6,3,Kenneth Walker right end for 3 yards (tackle by James Smith-Williams),0.740,0.600
1,3:18,2,7,SEA 30,6,3,Kenneth Walker left guard for 3 yards (tackle by Jonathan Allen),0.600,0.300
1,2:39,3,4,SEA 33,6,3,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Benjamin St-Juste),0.300,-1.180
1,2:29,4,4,SEA 33,6,3,"Michael Dickson punts 40 yards, returned by Jamison Crowder for 1 yard (tackle by Julian Love)",-1.180,-0.810
1,2:21,1,10,WAS 28,6,3,Sam Howell pass complete short middle to John Bates for no gain (tackle by Jordyn Brooks),0.810,0.260
1,1:48,2,10,WAS 28,6,3,Antonio Gibson left end for 6 yards (tackle by Frank Clark and Riq Woolen),0.260,0.370
1,1:06,3,4,WAS 34,6,3,Sam Howell pass complete short left to Antonio Gibson for 7 yards (tackle by Jamal Adams),0.370,1.660
1,0:30,1,10,WAS 41,6,3,Sam Howell pass complete short right to John Bates for 9 yards (tackle by Devon Witherspoon),1.660,2.340
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,WAS 50,6,3,Sam Howell pass complete short left to Brian Robinson for -1 yards (tackle by Jamal Adams),2.340,1.490
2,14:13,3,2,WAS 49,6,3,Sam Howell pass complete short right to Logan Thomas for 17 yards (tackle by Quandre Diggs),1.490,3.310
2,13:34,1,10,SEA 34,6,3,Sam Howell pass complete short right to Alex Armah for 3 yards (tackle by Jordyn Brooks),3.310,3.180
2,12:56,2,7,SEA 31,6,3,Antonio Gibson left tackle for no gain (tackle by Bobby Wagner),3.180,2.480
2,12:17,3,7,SEA 31,6,3,Sam Howell pass incomplete short left intended for Antonio Gibson,2.480,1.320
2,12:11,4,7,SEA 31,9,3,Joey Slye 49 yard field goal good,1.320,3.000
2,12:06,,,WAS 35,9,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,12:06,1,10,SEA 25,9,3,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,0.610,0.060
2,12:03,2,10,SEA 25,9,3,Geno Smith pass complete short right to Will Dissly for 16 yards (tackle by Kamren Curl and Daron Payne),0.060,1.660
2,11:20,1,10,SEA 41,9,3,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Percy Butler),1.660,1.120
2,11:13,2,10,SEA 41,9,3,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Kendall Fuller),1.120,2.520
2,10:36,1,10,WAS 46,9,3,Zach Charbonnet left guard for 1 yard (tackle by David Mayo),2.520,2.110
2,10:15,2,9,WAS 45,9,3,Geno Smith pass complete short left to D.K. Metcalf for 15 yards (tackle by Kamren Curl and Percy Butler),2.110,3.580
2,9:49,1,10,WAS 30,9,3,Geno Smith pass complete short left to Zach Charbonnet for 6 yards (tackle by David Mayo),3.580,3.840
2,9:23,2,4,WAS 24,9,3,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Andre Jones),3.840,3.140
2,9:20,3,4,WAS 24,9,3,Geno Smith pass incomplete short left intended for Zach Charbonnet,3.140,1.940
2,9:16,4,4,WAS 24,9,6,Jason Myers 43 yard field goal good,1.940,3.000
