Unnamed: 0,BAL,NYG
First Downs,23,18
Rush-Yds-TDs,24-211-1,31-83-1
Cmp-Att-Yd-TD-INT,17-32-210-1-1,19-27-173-2-0
Sacked-Yards,2-15,4-18
Net Pass Yards,195,155
Total Yards,406,238
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,10-74,3-25
Third Down Conv.,4-10,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:08,31:52
