Unnamed: 0,BUF,TAM
First Downs,27,26
Rush-Yds-TDs,19-173-1,29-137-2
Cmp-Att-Yd-TD-INT,36-54-308-2-1,31-46-363-2-0
Sacked-Yards,3-15,2-12
Net Pass Yards,293,351
Total Yards,466,488
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-65,4-24
Third Down Conv.,2-13,8-16
Fourth Down Conv.,2-3,0-1
Time of Possession,32:21,32:08
