Quarter,Time,Tm,Detail,BUF,TAM
1,8:13,Buccaneers,Leonard Fournette 47 yard rush (Ryan Succop kick),0,7
2,13:36,Buccaneers,Ryan Succop 23 yard field goal,0,10
,9:28,Bills,Tyler Bass 21 yard field goal,3,10
,7:11,Buccaneers,Mike Evans 13 yard pass from Tom Brady (Ryan Succop kick),3,17
,1:29,Buccaneers,Tom Brady 1 yard rush (Ryan Succop kick),3,24
3,7:29,Bills,Josh Allen 18 yard rush (Tyler Bass kick),10,24
4,11:20,Buccaneers,Ryan Succop 24 yard field goal,10,27
,9:07,Bills,Dawson Knox 15 yard pass from Josh Allen (Tyler Bass kick),17,27
,4:53,Bills,Gabriel Davis 4 yard pass from Josh Allen (Tyler Bass kick),24,27
,0:22,Bills,Tyler Bass 25 yard field goal,27,27
OT,5:31,Buccaneers,Breshad Perriman 58 yard pass from Tom Brady,27,33
