Unnamed: 0,MIA,BAL
First Downs,16,28
Rush-Yds-TDs,16-62-0,20-110-1
Cmp-Att-Yd-TD-INT,29-40-226-1-3,37-50-386-4-1
Sacked-Yards,2-11,0-0
Net Pass Yards,215,386
Total Yards,277,496
Fumbles-Lost,2-0,1-1
Turnovers,3,2
Penalties-Yards,7-57,7-68
Third Down Conv.,4-13,5-11
Fourth Down Conv.,0-0,2-2
Time of Possession,30:46,29:14
