Unnamed: 0,NYG,DAL
First Downs,16,20
Rush-Yds-TDs,28-104-0,24-95-1
Cmp-Att-Yd-TD-INT,18-27-228-3-1,23-42-262-1-0
Sacked-Yards,2-16,3-17
Net Pass Yards,212,245
Total Yards,316,340
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,6-48,5-37
Third Down Conv.,6-13,8-17
Fourth Down Conv.,0-0,0-2
Time of Possession,28:50,31:10
